X,Y,ID,W_GID
68.29864085,23.68412063,1,W_1
68.39858053,23.38729772,2,W_2
68.82852941,24.09810512,3,W_3
68.76337111,23.73725297,4,W_4
68.76059252,23.26163691,5,W_5
68.89400473,22.94328564,6,W_6
68.93787655,22.21491688,7,W_7
69.48339117,27.04168623,8,W_8
69.45657476,26.81413732,9,W_9
69.2575868,24.09727029,10,W_10
69.25077264,23.75198332,11,W_11
69.25077264,23.25198332,12,W_12
69.26429605,22.87535838,13,W_13
69.2594061,22.13312036,14,W_14
69.33294441,21.85104458,15,W_15
69.98061665,27.54695679,16,W_16
69.80677522,27.18739268,17,W_17
69.76143107,26.77017598,18,W_18
69.99661155,26.00877255,19,W_19
69.99751839,25.97150933,20,W_20
69.72910752,24.06414464,21,W_21
69.75077264,23.75198332,22,W_22
69.75077264,23.25198332,23,W_23
69.72173396,22.884952,24,W_24
69.77142664,22.20938905,25,W_25
69.75289868,21.75411606,26,W_26
69.85872204,21.34479707,27,W_27
70.28205126,27.69759751,28,W_28
70.25077264,27.25198332,29,W_29
70.25110112,26.75232441,30,W_30
70.28448441,26.2461134,31,W_31
70.27854556,25.82352987,32,W_32
70.26795192,24.14149485,33,W_33
70.25077264,23.75198332,34,W_34
70.23814543,23.29204115,35,W_35
70.32550115,22.67760591,36,W_36
70.25169996,22.25101227,37,W_37
70.25077264,21.75198332,38,W_38
70.25149718,21.25271525,39,W_39
70.33820414,20.89808989,40,W_40
70.71232074,27.62154412,41,W_41
70.75077264,27.25198332,42,W_42
70.75077264,26.75198332,43,W_43
70.75077264,26.25198332,44,W_44
70.75985185,25.75983578,45,W_45
70.8198996,25.28618459,46,W_46
70.93309655,24.81926633,47,W_47
70.81033013,24.15038727,48,W_48
70.75077264,23.75198332,49,W_49
70.76068776,23.2610153,50,W_50
70.75143122,22.75131278,51,W_51
70.75077264,22.25198332,52,W_52
70.75077264,21.75198332,53,W_53
70.75077264,21.25198332,54,W_54
70.75517402,20.82696985,55,W_55
71.26309709,27.64095722,56,W_56
71.25077264,27.25198332,57,W_57
71.25077264,26.75198332,58,W_58
71.25077264,26.25198332,59,W_59
71.25077264,25.75198332,60,W_60
71.25077264,25.25198332,61,W_61
71.25078336,24.7519893,62,W_62
71.25170384,24.25163965,63,W_63
71.25077264,23.75198332,64,W_64
71.25077264,23.25198332,65,W_65
71.25077264,22.75198332,66,W_66
71.25077264,22.25198332,67,W_67
71.25077264,21.75198332,68,W_68
71.25077264,21.25198332,69,W_69
71.21113272,20.88040875,70,W_70
71.93350765,28.07773801,71,W_71
71.77930542,27.70842243,72,W_72
71.75077264,27.25198332,73,W_73
71.75077264,26.75198332,74,W_74
71.75077264,26.25198332,75,W_75
71.75077264,25.75198332,76,W_76
71.75077264,25.25198332,77,W_77
71.75077264,24.75198332,78,W_78
71.75077264,24.25198332,79,W_79
71.75077264,23.75198332,80,W_80
71.75077264,23.25198332,81,W_81
71.75077264,22.75198332,82,W_82
71.75077264,22.25198332,83,W_83
71.75077264,21.75198332,84,W_84
71.74036383,21.26540478,85,W_85
71.58584297,20.96313489,86,W_86
72.47879076,36.06786346,87,W_87
72.47587218,35.89659595,88,W_88
72.37134381,28.61371122,89,W_89
72.27880247,28.23104161,90,W_90
72.25077264,27.75198332,91,W_91
72.25077264,27.25198332,92,W_92
72.25077264,26.75198332,93,W_93
72.25077264,26.25198332,94,W_94
72.25077264,25.75198332,95,W_95
72.25077264,25.25198332,96,W_96
72.25077264,24.75198332,97,W_97
72.25077264,24.25198332,98,W_98
72.25077264,23.75198332,99,W_99
72.25077264,23.25198332,100,W_100
72.25077264,22.75198332,101,W_101
72.22491794,22.28760721,102,W_102
72.18221588,21.77583501,103,W_103
72.07043865,21.39527071,104,W_104
72.09505379,11.52457075,105,W_105
72.13204439,10.80724172,106,W_106
72.23810312,10.05252591,107,W_107
72.19422467,9.970185943,108,W_108
72.99718067,36.59404099,109,W_109
72.79731133,36.1726622,110,W_110
72.74893368,35.89274988,111,W_111
72.95523871,29.06158563,112,W_112
72.77312137,28.71417101,113,W_113
72.75077264,28.25198332,114,W_114
72.75077264,27.75198332,115,W_115
72.75077264,27.25198332,116,W_116
72.75077264,26.75198332,117,W_117
72.75077264,26.25198332,118,W_118
72.75077264,25.75198332,119,W_119
72.75077264,25.25198332,120,W_120
72.75077264,24.75198332,121,W_121
72.75077264,24.25198332,122,W_122
72.75077264,23.75198332,123,W_123
72.75077264,23.25198332,124,W_124
72.75077264,22.75198332,125,W_125
72.76025016,22.26009733,126,W_126
72.76363758,21.75879677,127,W_127
72.77467584,21.24791784,128,W_128
72.85335741,20.78162718,129,W_129
72.84687458,20.22508011,130,W_130
72.80679452,19.75287825,131,W_131
72.84012935,19.26295499,132,W_132
72.87522668,18.76687157,133,W_133
72.91855332,18.2898217,134,W_134
72.96574762,17.91710972,135,W_135
72.62025012,11.61682616,136,W_136
72.71740445,11.17424936,137,W_137
72.55058711,10.50258854,138,W_138
72.54651027,10.48855488,139,W_139
72.95430606,8.20087446,140,W_140
73.26209138,36.57136124,141,W_141
73.25077264,36.25198332,142,W_142
73.27325381,35.77404705,143,W_143
73.42320589,35.49462172,144,W_144
73.47089901,34.50759465,145,W_145
73.42662534,34.27754123,146,W_146
73.47170466,33.8468841,147,W_147
73.48806092,33.29884227,148,W_148
73.37698155,29.68809698,149,W_149
73.27757691,29.23169799,150,W_150
73.25077264,28.75198332,151,W_151
73.25077264,28.25198332,152,W_152
73.25077264,27.75198332,153,W_153
73.25077264,27.25198332,154,W_154
73.25077264,26.75198332,155,W_155
73.25077264,26.25198332,156,W_156
73.25077264,25.75198332,157,W_157
73.25077264,25.25198332,158,W_158
73.25077264,24.75198332,159,W_159
73.25077264,24.25198332,160,W_160
73.25077264,23.75198332,161,W_161
73.25077264,23.25198332,162,W_162
73.25077264,22.75198332,163,W_163
73.25077264,22.25198332,164,W_164
73.25077264,21.75198332,165,W_165
73.25077264,21.25198332,166,W_166
73.25077264,20.75198332,167,W_167
73.25077264,20.25198332,168,W_168
73.25077264,19.75198332,169,W_169
73.25077264,19.25198332,170,W_170
73.25077264,18.75198332,171,W_171
73.25108008,18.25212305,172,W_172
73.25834239,17.75719965,173,W_173
73.31005242,17.26665186,174,W_174
73.35455011,16.7611064,175,W_175
73.39471234,16.28491233,176,W_176
73.44859321,15.93180755,177,W_177
73.78228597,36.63310409,178,W_178
73.75077264,36.25198332,179,W_179
73.75077264,35.75198332,180,W_180
73.82391883,35.30947342,181,W_181
73.82138255,34.63853936,182,W_182
73.75097345,34.25173929,183,W_183
73.75118928,33.75235295,184,W_184
73.76144182,33.25563429,185,W_185
73.8546292,32.94354246,186,W_186
73.91488855,30.20953712,187,W_187
73.75590396,29.74498371,188,W_188
73.75077264,29.25198332,189,W_189
73.75077264,28.75198332,190,W_190
73.75077264,28.25198332,191,W_191
73.75077264,27.75198332,192,W_192
73.75077264,27.25198332,193,W_193
73.75077264,26.75198332,194,W_194
73.75077264,26.25198332,195,W_195
73.75077264,25.75198332,196,W_196
73.75077264,25.25198332,197,W_197
73.75077264,24.75198332,198,W_198
73.75077264,24.25198332,199,W_199
73.75077264,23.75198332,200,W_200
73.75077264,23.25198332,201,W_201
73.75077264,22.75198332,202,W_202
73.75077264,22.25198332,203,W_203
73.75077264,21.75198332,204,W_204
73.75077264,21.25198332,205,W_205
73.75077264,20.75198332,206,W_206
73.75077264,20.25198332,207,W_207
73.75077264,19.75198332,208,W_208
73.75077264,19.25198332,209,W_209
73.75077264,18.75198332,210,W_210
73.75077264,18.25198332,211,W_211
73.75077264,17.75198332,212,W_212
73.75077264,17.25198332,213,W_213
73.75077264,16.75198332,214,W_214
73.75077264,16.25198332,215,W_215
73.77369744,15.76799314,216,W_216
73.87961276,15.29154368,217,W_217
73.95625841,14.93669849,218,W_218
73.58524614,10.73591788,219,W_219
73.56257178,10.04119784,220,W_220
73.55019792,9.991174554,221,W_221
74.26973816,36.6829648,222,W_222
74.25077264,36.25198332,223,W_223
74.25077264,35.75198332,224,W_224
74.25195794,35.2530221,225,W_225
74.25097928,34.75181953,226,W_226
74.25077264,34.25198332,227,W_227
74.25077264,33.75198332,228,W_228
74.25077264,33.25198332,229,W_229
74.27641142,32.86235055,230,W_230
74.46902946,31.63506528,231,W_231
74.46868152,31.15418974,232,W_232
74.33087713,30.66948663,233,W_233
74.2507914,30.25196454,234,W_234
74.25077264,29.75198332,235,W_235
74.25077264,29.25198332,236,W_236
74.25077264,28.75198332,237,W_237
74.25077264,28.25198332,238,W_238
74.25077264,27.75198332,239,W_239
74.25077264,27.25198332,240,W_240
74.25077264,26.75198332,241,W_241
