Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,40.0,30.18,12.84,17.34,1.68,4.7,17.75198332,77.75077264
20100102,0.0,41.98,29.78,12.55,17.23,1.57,3.54,17.75198332,77.75077264
20100103,0.0,39.12,30.88,13.29,17.59,2.86,4.49,17.75198332,77.75077264
20100104,0.0,39.89,30.98,15.53,15.45,4.07,4.86,17.75198332,77.75077264
20100105,0.0,44.08,30.85,14.82,16.03,1.34,4.58,17.75198332,77.75077264
20100106,0.0,42.71,29.77,13.82,15.95,2.04,4.01,17.75198332,77.75077264
20100107,0.0,40.0,29.16,12.35,16.81,2.05,3.79,17.75198332,77.75077264
20100108,0.0,53.36,29.9,14.57,15.33,2.39,5.67,17.75198332,77.75077264
20100109,0.0,56.72,30.11,15.71,14.39,1.86,4.73,17.75198332,77.75077264
20100110,0.0,63.23,29.95,19.15,10.8,1.67,3.2,17.75198332,77.75077264
20100111,0.23,63.23,31.62,19.39,12.23,2.79,1.93,17.75198332,77.75077264
20100112,2.7,70.8,29.83,20.35,9.48,5.53,6.13,17.75198332,77.75077264
20100113,3.77,77.98,27.52,19.73,7.79,2.75,5.27,17.75198332,77.75077264
20100114,0.86,64.6,30.02,17.4,12.63,2.45,2.91,17.75198332,77.75077264
20100115,1.0,65.81,29.25,17.09,12.16,3.13,2.29,17.75198332,77.75077264
20100116,0.03,55.7,29.94,15.9,14.04,2.63,2.72,17.75198332,77.75077264
20100117,0.0,48.92,29.58,15.4,14.18,1.48,4.28,17.75198332,77.75077264
20100118,0.0,39.8,30.07,15.41,14.65,2.53,4.67,17.75198332,77.75077264
20100119,0.0,30.83,30.69,14.07,16.62,1.62,5.45,17.75198332,77.75077264
20100120,0.0,21.6,30.32,12.59,17.73,1.97,3.97,17.75198332,77.75077264
20100121,0.0,19.87,29.93,11.22,18.71,2.28,3.31,17.75198332,77.75077264
20100122,0.0,21.9,30.55,10.77,19.78,1.54,3.7,17.75198332,77.75077264
20100123,0.0,27.36,30.47,11.51,18.96,1.99,3.29,17.75198332,77.75077264
20100124,0.0,37.61,30.33,12.14,18.19,2.62,6.33,17.75198332,77.75077264
20100125,0.0,43.77,30.53,13.62,16.91,2.71,5.14,17.75198332,77.75077264
20100126,0.0,34.71,29.96,14.06,15.9,1.8,3.95,17.75198332,77.75077264
20100127,0.0,38.57,29.54,13.53,16.01,2.04,4.03,17.75198332,77.75077264
20100128,0.0,44.37,30.05,15.51,14.55,3.87,6.36,17.75198332,77.75077264
20100129,0.0,41.09,30.47,17.73,12.75,2.68,5.7,17.75198332,77.75077264
20100130,0.0,30.12,31.12,15.47,15.65,3.4,3.21,17.75198332,77.75077264
20100131,0.0,25.21,32.11,14.82,17.29,2.27,5.33,17.75198332,77.75077264
20100201,0.0,31.82,32.55,15.12,17.43,3.4,6.05,17.75198332,77.75077264
20100202,0.0,43.21,32.22,15.77,16.45,2.63,3.58,17.75198332,77.75077264
20100203,0.0,42.82,32.45,16.87,15.58,3.65,4.38,17.75198332,77.75077264
20100204,0.0,36.57,32.78,16.22,16.56,2.86,5.05,17.75198332,77.75077264
20100205,0.0,36.68,32.6,16.19,16.41,2.42,5.45,17.75198332,77.75077264
20100206,0.0,39.65,32.11,16.09,16.02,1.95,4.07,17.75198332,77.75077264
20100207,0.0,35.62,32.25,16.5,15.75,1.35,2.4,17.75198332,77.75077264
20100208,0.0,34.01,33.75,16.73,17.02,1.58,5.23,17.75198332,77.75077264
20100209,0.0,33.95,33.98,16.66,17.32,2.86,5.34,17.75198332,77.75077264
20100210,0.0,36.4,33.89,16.3,17.59,3.1,5.83,17.75198332,77.75077264
20100211,0.0,36.8,33.81,18.86,14.95,3.0,4.98,17.75198332,77.75077264
20100212,0.0,38.26,35.24,19.51,15.73,3.61,4.95,17.75198332,77.75077264
20100213,0.02,34.0,35.89,20.04,15.85,2.71,3.22,17.75198332,77.75077264
20100214,0.55,32.41,36.09,22.03,14.06,3.0,3.14,17.75198332,77.75077264
20100215,1.64,32.99,36.22,22.35,13.87,3.83,3.11,17.75198332,77.75077264
20100216,0.49,33.16,36.24,21.37,14.88,3.76,4.28,17.75198332,77.75077264
20100217,0.19,35.69,36.56,19.87,16.7,3.79,6.56,17.75198332,77.75077264
20100218,0.05,34.25,36.56,22.16,14.4,3.07,5.57,17.75198332,77.75077264
20100219,0.02,32.0,34.33,24.3,10.03,3.86,5.01,17.75198332,77.75077264
20100220,1.24,33.59,36.98,22.27,14.71,4.92,6.27,17.75198332,77.75077264
20100221,0.39,34.93,36.39,22.66,13.73,4.23,5.28,17.75198332,77.75077264
20100222,1.48,38.35,36.24,22.27,13.97,3.73,5.55,17.75198332,77.75077264
20100223,2.58,39.7,36.16,23.11,13.05,4.43,2.89,17.75198332,77.75077264
20100224,0.3,26.65,35.92,18.61,17.31,4.31,5.82,17.75198332,77.75077264
20100225,0.0,24.85,36.16,16.51,19.66,2.48,2.63,17.75198332,77.75077264
20100226,0.0,26.2,36.6,19.58,17.02,3.15,6.61,17.75198332,77.75077264
20100227,0.0,28.15,36.52,19.87,16.65,1.74,3.7,17.75198332,77.75077264
20100228,0.0,18.32,37.47,19.38,18.09,1.3,4.94,17.75198332,77.75077264
20100301,0.0,21.46,37.63,18.5,19.14,3.05,5.62,17.75198332,77.75077264
20100302,0.0,28.24,37.4,19.79,17.61,3.42,4.71,17.75198332,77.75077264
20100303,0.0,26.01,38.04,21.49,16.55,4.97,5.27,17.75198332,77.75077264
20100304,0.0,24.27,37.79,21.66,16.13,2.32,3.52,17.75198332,77.75077264
20100305,0.0,24.44,37.81,21.73,16.08,2.4,3.19,17.75198332,77.75077264
20100306,0.0,24.63,38.63,21.73,16.9,2.94,4.87,17.75198332,77.75077264
20100307,0.0,26.81,37.72,21.77,15.95,4.03,3.32,17.75198332,77.75077264
20100308,0.0,22.76,39.14,20.4,18.74,2.54,5.25,17.75198332,77.75077264
20100309,0.0,27.86,39.2,22.26,16.94,3.28,5.15,17.75198332,77.75077264
20100310,0.01,30.53,38.79,24.15,14.63,3.58,5.33,17.75198332,77.75077264
20100311,0.0,34.41,36.99,24.44,12.55,3.69,5.51,17.75198332,77.75077264
20100312,0.01,29.56,38.2,22.43,15.76,1.63,4.23,17.75198332,77.75077264
20100313,0.0,28.99,37.81,25.53,12.28,2.86,4.87,17.75198332,77.75077264
