Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,44.92,29.12,12.29,16.83,2.23,2.56,17.75198332,78.75077264
20100102,0.0,54.34,28.44,11.22,17.22,1.67,3.49,17.75198332,78.75077264
20100103,0.0,40.65,29.64,12.83,16.8,3.28,3.65,17.75198332,78.75077264
20100104,0.0,44.02,30.16,14.11,16.04,4.03,4.34,17.75198332,78.75077264
20100105,0.0,50.02,30.12,13.78,16.35,1.27,4.41,17.75198332,78.75077264
20100106,0.0,48.21,28.58,12.71,15.88,2.27,2.32,17.75198332,78.75077264
20100107,0.0,49.2,27.96,11.06,16.9,1.44,3.56,17.75198332,78.75077264
20100108,0.0,58.35,29.14,14.31,14.83,2.28,5.29,17.75198332,78.75077264
20100109,0.01,66.31,27.32,16.38,10.94,1.63,2.78,17.75198332,78.75077264
20100110,0.01,69.18,29.28,18.76,10.52,2.21,1.82,17.75198332,78.75077264
20100111,0.04,69.04,30.72,19.42,11.3,2.88,2.21,17.75198332,78.75077264
20100112,1.8,65.6,31.91,20.33,11.58,5.5,5.99,17.75198332,78.75077264
20100113,4.28,84.4,26.42,20.36,6.07,2.75,3.86,17.75198332,78.75077264
20100114,0.99,69.6,29.37,18.36,11.01,2.36,2.41,17.75198332,78.75077264
20100115,0.26,69.73,28.78,17.7,11.08,2.9,1.46,17.75198332,78.75077264
20100116,0.02,59.19,29.53,15.95,13.58,2.06,1.74,17.75198332,78.75077264
20100117,0.0,46.31,29.89,15.69,14.2,1.78,4.99,17.75198332,78.75077264
20100118,0.0,40.69,29.82,14.32,15.5,1.35,4.43,17.75198332,78.75077264
20100119,0.0,31.72,30.05,13.18,16.87,2.02,2.8,17.75198332,78.75077264
20100120,0.0,26.9,29.58,11.0,18.58,2.03,3.32,17.75198332,78.75077264
20100121,0.0,25.23,29.22,10.17,19.05,2.27,3.65,17.75198332,78.75077264
20100122,0.0,30.26,29.62,11.2,18.42,2.01,3.93,17.75198332,78.75077264
20100123,0.0,33.14,29.67,12.25,17.42,1.8,2.38,17.75198332,78.75077264
20100124,0.0,47.83,29.61,12.32,17.29,2.28,5.92,17.75198332,78.75077264
20100125,0.0,50.04,29.69,13.84,15.85,2.8,4.45,17.75198332,78.75077264
20100126,0.0,39.5,29.58,13.44,16.14,1.81,3.15,17.75198332,78.75077264
20100127,0.0,47.08,28.53,13.85,14.68,1.06,2.27,17.75198332,78.75077264
20100128,0.0,48.04,29.44,15.36,14.08,3.28,4.84,17.75198332,78.75077264
20100129,0.0,47.28,29.86,16.27,13.6,2.18,3.91,17.75198332,78.75077264
20100130,0.0,30.31,30.68,14.83,15.85,3.61,3.57,17.75198332,78.75077264
20100131,0.0,26.28,31.72,13.53,18.19,1.39,4.12,17.75198332,78.75077264
20100201,0.0,40.77,31.45,14.26,17.19,2.69,6.78,17.75198332,78.75077264
20100202,0.0,49.23,31.63,16.06,15.57,2.55,4.71,17.75198332,78.75077264
20100203,0.0,44.91,32.44,16.55,15.89,3.22,5.07,17.75198332,78.75077264
20100204,0.0,41.28,31.82,16.41,15.41,2.94,4.22,17.75198332,78.75077264
20100205,0.0,40.47,31.98,16.03,15.94,2.01,4.29,17.75198332,78.75077264
20100206,0.0,42.34,31.7,16.43,15.27,2.41,3.01,17.75198332,78.75077264
20100207,0.0,40.12,31.84,15.82,16.01,1.68,2.78,17.75198332,78.75077264
20100208,0.0,35.12,33.45,17.85,15.6,3.39,6.61,17.75198332,78.75077264
20100209,0.0,35.92,33.87,16.58,17.28,2.86,5.98,17.75198332,78.75077264
20100210,0.0,39.94,33.63,15.86,17.77,2.53,5.25,17.75198332,78.75077264
20100211,0.0,41.69,33.0,17.17,15.83,2.75,5.09,17.75198332,78.75077264
20100212,0.0,39.79,35.14,17.93,17.21,3.42,5.78,17.75198332,78.75077264
20100213,0.0,37.68,35.11,18.59,16.52,3.38,4.39,17.75198332,78.75077264
20100214,0.48,35.14,35.96,19.89,16.06,3.37,4.62,17.75198332,78.75077264
20100215,1.26,37.19,35.95,20.8,15.15,3.16,3.5,17.75198332,78.75077264
20100216,0.76,41.03,35.65,19.13,16.53,3.79,4.52,17.75198332,78.75077264
20100217,0.26,38.82,36.49,18.7,17.78,4.15,6.84,17.75198332,78.75077264
20100218,0.07,35.66,36.5,21.43,15.07,2.91,4.73,17.75198332,78.75077264
20100219,0.03,35.59,33.57,23.2,10.37,2.95,5.92,17.75198332,78.75077264
20100220,0.93,37.33,36.6,20.42,16.18,3.02,5.45,17.75198332,78.75077264
20100221,0.61,39.56,35.95,21.45,14.5,3.76,6.11,17.75198332,78.75077264
20100222,1.66,42.64,35.91,21.31,14.6,3.32,5.97,17.75198332,78.75077264
20100223,2.54,45.13,35.9,21.84,14.07,3.29,1.61,17.75198332,78.75077264
20100224,0.31,34.16,35.86,20.23,15.64,2.34,2.44,17.75198332,78.75077264
20100225,0.0,38.73,36.06,18.14,17.92,1.61,3.18,17.75198332,78.75077264
20100226,0.0,40.64,36.2,19.64,16.56,2.77,4.81,17.75198332,78.75077264
20100227,0.0,30.05,36.31,20.69,15.61,2.4,3.66,17.75198332,78.75077264
20100228,0.0,17.79,37.22,19.4,17.82,1.14,3.02,17.75198332,78.75077264
20100301,0.0,25.53,37.22,18.3,18.92,2.06,4.15,17.75198332,78.75077264
20100302,0.0,29.94,37.41,19.08,18.33,2.64,6.14,17.75198332,78.75077264
20100303,0.0,25.87,38.28,21.75,16.53,4.45,4.45,17.75198332,78.75077264
20100304,0.0,26.75,37.97,21.76,16.21,2.65,4.33,17.75198332,78.75077264
20100305,0.0,28.0,38.35,22.24,16.1,1.33,2.36,17.75198332,78.75077264
20100306,0.0,28.29,38.94,21.89,17.05,2.48,2.74,17.75198332,78.75077264
20100307,0.0,31.3,38.3,22.86,15.43,3.72,4.65,17.75198332,78.75077264
20100308,0.0,22.93,39.16,21.36,17.8,2.19,3.49,17.75198332,78.75077264
20100309,0.0,31.33,38.95,22.86,16.09,2.98,5.17,17.75198332,78.75077264
20100310,0.01,36.63,38.23,22.42,15.81,2.63,3.98,17.75198332,78.75077264
20100311,0.0,36.33,37.83,22.88,14.95,2.58,4.69,17.75198332,78.75077264
20100312,0.0,33.94,37.62,22.3,15.32,1.83,3.87,17.75198332,78.75077264
20100313,0.0,31.99,37.67,24.66,13.01,1.67,3.97,17.75198332,78.75077264
20100314,0.05,25.94,38.23,25.98,12.25,2.82,2.85,17.75198332,78.75077264
20100315,0.0,13.35,39.52,21.33,18.19,2.33,3.36,17.75198332,78.75077264
20100316,0.0,26.42,38.96,20.97,17.99,3.5,5.71,17.75198332,78.75077264
20100317,0.0,29.36,38.46,23.65,14.81,2.64,3.45,17.75198332,78.75077264
20100318,0.0,29.27,36.93,22.57,14.36,2.73,2.79,17.75198332,78.75077264
20100319,0.0,24.83,38.22,22.31,15.91,2.1,4.77,17.75198332,78.75077264
20100320,0.0,20.37,39.85,23.66,16.19,2.56,3.78,17.75198332,78.75077264
20100321,0.0,16.87,40.35,24.7,15.64,4.61,5.04,17.75198332,78.75077264
20100322,0.0,15.57,41.34,22.98,18.36,2.32,5.63,17.75198332,78.75077264
20100323,0.0,19.12,41.18,21.95,19.23,3.46,6.34,17.75198332,78.75077264
20100324,0.0,25.74,40.95,22.57,18.39,3.43,5.94,17.75198332,78.75077264
20100325,0.0,25.48,40.59,24.55,16.04,3.3,5.79,17.75198332,78.75077264
20100326,0.0,28.61,40.33,23.53,16.8,3.52,6.14,17.75198332,78.75077264
20100327,0.0,31.31,39.18,23.21,15.97,3.87,5.85,17.75198332,78.75077264
20100328,0.0,35.2,39.89,23.19,16.7,2.91,4.03,17.75198332,78.75077264
20100329,0.0,32.83,38.58,25.52,13.06,4.14,5.73,17.75198332,78.75077264
20100330,0.0,35.78,37.34,26.06,11.28,4.02,5.12,17.75198332,78.75077264
20100331,0.0,21.72,40.5,26.83,13.67,3.29,5.94,17.75198332,78.75077264
20100401,0.0,16.71,40.52,23.09,17.43,5.83,6.61,17.75198332,78.75077264
20100402,0.0,13.5,41.2,20.95,20.25,4.62,7.07,17.75198332,78.75077264
20100403,0.0,25.92,40.56,22.98,17.58,2.58,4.83,17.75198332,78.75077264
