Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,42.49,30.05,12.91,17.14,1.66,3.58,18.75198332,79.25077264
20100102,0.0,44.55,29.82,12.11,17.72,1.51,4.57,18.75198332,79.25077264
20100103,0.0,35.08,30.93,12.52,18.41,2.87,5.34,18.75198332,79.25077264
20100104,0.0,40.28,31.49,14.15,17.34,3.51,4.68,18.75198332,79.25077264
20100105,0.0,45.88,31.04,14.04,17.0,1.41,3.49,18.75198332,79.25077264
20100106,0.0,38.88,30.17,12.96,17.21,1.73,3.0,18.75198332,79.25077264
20100107,0.0,36.83,29.57,11.26,18.32,2.09,4.16,18.75198332,79.25077264
20100108,0.0,37.63,30.92,14.1,16.82,1.77,3.62,18.75198332,79.25077264
20100109,0.0,41.85,30.52,15.31,15.21,1.67,3.16,18.75198332,79.25077264
20100110,0.0,49.4,31.35,20.02,11.32,1.62,1.84,18.75198332,79.25077264
20100111,0.14,58.51,33.22,19.4,13.82,1.86,1.56,18.75198332,79.25077264
20100112,3.28,69.09,30.85,21.7,9.15,5.44,6.05,18.75198332,79.25077264
20100113,4.32,79.59,27.54,20.58,6.96,2.19,2.51,18.75198332,79.25077264
20100114,0.93,65.74,30.62,17.17,13.45,2.41,3.74,18.75198332,79.25077264
20100115,0.0,54.24,30.54,16.21,14.33,1.83,3.53,18.75198332,79.25077264
20100116,0.0,45.15,30.47,13.81,16.66,1.16,3.76,18.75198332,79.25077264
20100117,0.0,40.24,30.39,13.68,16.71,1.4,4.84,18.75198332,79.25077264
20100118,0.0,34.77,30.8,13.67,17.13,1.6,4.17,18.75198332,79.25077264
20100119,0.0,27.97,31.18,12.2,18.97,1.61,2.27,18.75198332,79.25077264
20100120,0.0,24.76,30.93,10.89,20.04,1.69,5.18,18.75198332,79.25077264
20100121,0.0,23.77,30.51,10.94,19.57,2.19,4.09,18.75198332,79.25077264
20100122,0.0,27.59,30.68,11.28,19.4,2.03,4.78,18.75198332,79.25077264
20100123,0.0,24.78,30.93,11.29,19.65,1.88,4.3,18.75198332,79.25077264
20100124,0.0,34.14,31.11,12.05,19.06,3.01,4.09,18.75198332,79.25077264
20100125,0.0,42.67,31.25,13.66,17.59,2.76,5.15,18.75198332,79.25077264
20100126,0.0,26.61,31.11,13.24,17.87,1.64,4.42,18.75198332,79.25077264
20100127,0.0,28.46,30.83,13.14,17.7,1.9,3.71,18.75198332,79.25077264
20100128,0.0,28.76,31.42,14.27,17.15,2.82,5.84,18.75198332,79.25077264
20100129,0.0,31.37,31.44,14.53,16.91,1.81,4.18,18.75198332,79.25077264
20100130,0.0,26.3,31.89,14.09,17.8,3.07,3.51,18.75198332,79.25077264
20100131,0.0,24.67,32.49,13.69,18.79,1.29,3.44,18.75198332,79.25077264
20100201,0.0,33.52,32.52,14.99,17.53,3.22,5.83,18.75198332,79.25077264
20100202,0.0,42.53,32.81,16.56,16.25,2.86,4.72,18.75198332,79.25077264
20100203,0.0,41.98,33.62,18.86,14.76,3.5,4.38,18.75198332,79.25077264
20100204,0.05,37.7,33.46,18.53,14.93,2.89,4.23,18.75198332,79.25077264
20100205,0.01,38.89,33.23,17.67,15.56,2.27,5.74,18.75198332,79.25077264
20100206,0.0,36.4,32.98,17.67,15.31,2.04,4.17,18.75198332,79.25077264
20100207,0.0,28.6,33.27,16.1,17.17,1.85,3.58,18.75198332,79.25077264
20100208,0.0,26.14,34.54,16.6,17.93,2.31,3.57,18.75198332,79.25077264
20100209,0.0,33.73,35.13,17.25,17.88,3.22,5.25,18.75198332,79.25077264
20100210,0.0,35.92,34.69,17.14,17.55,2.86,5.85,18.75198332,79.25077264
20100211,0.0,34.02,34.73,17.95,16.79,2.88,5.46,18.75198332,79.25077264
20100212,0.0,34.3,36.25,18.36,17.89,3.4,6.01,18.75198332,79.25077264
20100213,0.0,32.89,36.83,20.19,16.64,3.34,4.44,18.75198332,79.25077264
20100214,0.72,33.97,37.63,21.43,16.19,3.1,4.09,18.75198332,79.25077264
20100215,1.72,35.28,35.86,23.12,12.74,5.75,6.46,18.75198332,79.25077264
20100216,0.63,38.08,36.32,21.28,15.04,4.16,5.89,18.75198332,79.25077264
20100217,0.16,36.54,37.63,20.94,16.69,3.26,5.74,18.75198332,79.25077264
20100218,0.01,30.3,37.26,23.35,13.9,2.28,5.37,18.75198332,79.25077264
20100219,0.0,34.74,33.4,24.44,8.96,1.27,2.61,18.75198332,79.25077264
20100220,1.4,36.9,36.82,23.33,13.49,3.01,6.49,18.75198332,79.25077264
20100221,0.28,36.54,36.75,22.47,14.29,4.03,6.89,18.75198332,79.25077264
20100222,1.96,36.77,37.24,21.99,15.25,2.76,5.47,18.75198332,79.25077264
20100223,3.09,42.78,36.71,23.23,13.48,4.69,4.72,18.75198332,79.25077264
20100224,0.2,32.46,36.44,20.87,15.57,3.69,3.05,18.75198332,79.25077264
20100225,0.0,32.35,36.56,18.14,18.42,1.86,4.25,18.75198332,79.25077264
20100226,0.0,32.89,37.27,20.77,16.5,2.9,5.79,18.75198332,79.25077264
20100227,0.0,21.72,37.32,19.75,17.57,2.03,2.38,18.75198332,79.25077264
20100228,0.0,17.16,38.21,21.64,16.56,1.17,2.05,18.75198332,79.25077264
20100301,0.0,19.02,38.73,18.72,20.01,2.38,4.29,18.75198332,79.25077264
20100302,0.0,25.34,38.7,20.05,18.65,3.38,5.11,18.75198332,79.25077264
20100303,0.0,24.06,40.02,23.68,16.34,5.06,5.95,18.75198332,79.25077264
20100304,0.0,23.41,39.46,22.63,16.82,1.98,2.63,18.75198332,79.25077264
20100305,0.0,24.66,39.31,23.05,16.26,1.84,2.97,18.75198332,79.25077264
20100306,0.0,26.02,40.09,23.56,16.53,2.29,2.37,18.75198332,79.25077264
20100307,0.0,27.1,39.42,23.81,15.61,3.69,6.07,18.75198332,79.25077264
20100308,0.0,19.41,40.62,22.09,18.53,3.25,6.46,18.75198332,79.25077264
20100309,0.0,21.3,40.44,22.22,18.22,1.85,4.4,18.75198332,79.25077264
20100310,0.29,31.28,39.9,23.34,16.56,2.53,3.79,18.75198332,79.25077264
20100311,0.08,33.08,38.66,24.66,14.0,2.33,4.98,18.75198332,79.25077264
20100312,0.12,31.76,39.42,24.58,14.84,2.1,4.48,18.75198332,79.25077264
20100313,0.0,34.69,35.7,26.75,8.95,4.03,4.26,18.75198332,79.25077264
20100314,0.0,26.01,39.89,25.59,14.3,3.09,3.51,18.75198332,79.25077264
20100315,0.0,11.57,40.32,21.12,19.2,1.69,3.06,18.75198332,79.25077264
20100316,0.0,18.3,40.63,21.84,18.79,2.0,4.25,18.75198332,79.25077264
20100317,0.0,26.17,40.39,23.28,17.11,1.9,3.83,18.75198332,79.25077264
20100318,0.0,27.66,38.95,23.44,15.51,3.26,4.2,18.75198332,79.25077264
20100319,0.0,23.25,40.24,23.37,16.88,2.3,5.46,18.75198332,79.25077264
20100320,0.0,17.6,41.37,26.05,15.31,1.89,2.14,18.75198332,79.25077264
20100321,0.0,14.54,42.04,24.33,17.71,3.39,3.66,18.75198332,79.25077264
20100322,0.0,12.71,42.94,24.89,18.05,1.69,2.93,18.75198332,79.25077264
20100323,0.0,16.14,43.07,22.97,20.1,3.52,6.72,18.75198332,79.25077264
20100324,0.0,24.54,42.51,23.8,18.7,3.84,6.98,18.75198332,79.25077264
20100325,0.0,24.89,42.04,25.22,16.82,3.9,6.97,18.75198332,79.25077264
20100326,0.01,27.24,41.92,25.5,16.42,4.77,7.63,18.75198332,79.25077264
20100327,0.0,27.81,41.21,25.27,15.94,4.98,7.42,18.75198332,79.25077264
20100328,0.01,31.76,41.55,25.59,15.96,4.66,7.33,18.75198332,79.25077264
20100329,0.09,29.77,41.78,28.37,13.41,3.24,4.06,18.75198332,79.25077264
20100330,0.02,29.41,40.67,27.81,12.85,2.14,2.75,18.75198332,79.25077264
20100331,0.0,17.2,42.06,25.36,16.7,1.77,2.56,18.75198332,79.25077264
20100401,0.0,15.68,41.96,23.76,18.19,3.2,5.74,18.75198332,79.25077264
20100402,0.0,13.06,42.42,22.0,20.42,2.92,5.58,18.75198332,79.25077264
20100403,0.0,19.05,42.01,24.54,17.47,1.81,1.89,18.75198332,79.25077264
20100404,0.0,19.88,42.57,24.98,17.58,2.83,3.76,18.75198332,79.25077264
20100405,0.0,20.64,42.27,25.62,16.65,1.9,4.39,18.75198332,79.25077264
20100406,0.0,15.73,43.36,26.86,16.5,2.88,5.6,18.75198332,79.25077264
20100407,0.0,22.83,43.78,26.95,16.83,3.29,6.15,18.75198332,79.25077264
20100408,0.0,25.95,43.35,26.64,16.71,3.04,5.84,18.75198332,79.25077264
20100409,0.0,26.51,40.57,28.2,12.38,2.72,3.56,18.75198332,79.25077264
