,PRECTOT,RH2M,T2M,WS2M
20100101,0.0,44.43,14.07,1.67
20100102,0.0,43.74,14.49,1.38
20100103,0.0,49.12,17.24,1.34
20100104,0.02,56.05,16.14,2.23
20100105,0.0,54.61,14.99,1.88
20100106,0.0,44.43,14.63,1.27
20100107,0.0,44.01,14.47,1.24
20100108,0.0,40.82,15.84,0.96
20100109,0.0,45.98,16.91,1.27
20100110,0.0,50.15,18.21,1.39
20100111,0.52,53.66,19.21,1.22
20100112,7.91,69.16,17.81,2.16
20100113,3.64,76.64,17.76,2.21
20100114,0.01,60.86,15.34,2.15
20100115,0.0,51.41,14.72,1.62
20100116,0.0,48.83,15.1,1.61
20100117,0.0,47.38,15.06,1.33
20100118,0.0,40.56,15.06,1.46
20100119,0.0,35.02,15.04,1.87
20100120,0.0,34.22,15.52,1.59
20100121,0.0,32.69,16.07,1.44
20100122,0.0,33.14,16.35,1.3
20100123,0.0,31.37,17.13,1.28
20100124,0.0,30.69,18.05,1.25
20100125,0.0,32.68,18.19,0.96
20100126,0.0,37.12,16.91,1.34
20100127,0.0,34.57,17.58,1.22
20100128,0.0,36.24,17.36,1.21
20100129,0.0,37.4,17.83,1.53
20100130,0.0,35.81,19.62,1.52
20100131,0.0,36.96,19.79,1.37
20100201,0.0,38.96,20.41,1.26
20100202,0.22,42.04,21.36,1.18
20100203,0.07,48.15,20.36,1.31
20100204,0.23,59.85,18.31,1.38
20100205,0.01,49.85,19.16,1.31
20100206,0.0,32.44,20.25,1.2
20100207,0.0,26.52,21.16,1.14
20100208,0.0,26.25,21.8,1.93
20100209,0.03,34.44,22.63,2.27
20100210,0.58,50.11,22.42,1.1
20100211,1.34,47.5,22.47,1.97
20100212,0.07,45.23,23.36,2.15
20100213,0.0,49.06,22.86,2.11
20100214,0.0,47.39,23.48,1.64
20100215,0.66,37.92,24.9,2.14
20100216,1.36,41.85,23.3,2.04
20100217,0.0,30.74,21.76,2.15
20100218,0.0,26.53,20.84,1.97
20100219,0.0,18.73,21.88,1.77
20100220,0.0,21.42,22.67,1.76
20100221,0.0,20.0,22.61,1.79
20100222,0.13,27.24,23.12,1.9
20100223,0.1,36.31,24.36,2.52
20100224,0.0,25.64,22.41,2.63
20100225,0.0,25.38,22.69,1.74
20100226,0.0,22.87,23.69,1.82
20100227,0.0,20.92,23.97,1.91
20100228,0.0,15.7,26.09,1.35
20100301,0.0,14.89,26.69,1.4
20100302,0.0,19.27,26.85,2.07
20100303,0.0,23.62,27.52,2.54
20100304,0.0,21.02,27.41,2.36
20100305,0.0,26.77,26.48,2.69
20100306,0.0,28.92,27.3,2.1
20100307,0.0,25.72,26.45,2.81
20100308,0.0,19.48,25.53,2.24
