,PRECTOT,RH2M,T2M,WS2M
20100101,0.0,65.17,18.27,1.54
20100102,0.0,48.83,16.09,1.57
20100103,0.0,45.23,16.78,1.16
20100104,0.0,47.28,17.37,1.41
20100105,0.0,56.24,18.0,1.41
20100106,0.0,50.57,17.53,1.12
20100107,0.0,53.7,17.32,1.13
20100108,0.0,55.4,18.41,0.97
20100109,0.0,55.65,20.63,0.73
20100110,0.0,63.07,21.49,0.84
20100111,0.0,59.56,21.75,1.03
20100112,0.11,59.29,20.6,1.2
20100113,2.79,75.69,20.81,1.03
20100114,1.18,81.77,20.07,1.55
20100115,0.18,76.15,20.25,1.3
20100116,0.0,62.45,20.42,0.66
20100117,0.0,52.53,19.87,0.89
20100118,0.0,55.02,19.25,0.5
20100119,0.0,44.56,19.53,1.39
20100120,0.0,47.69,18.42,1.29
20100121,0.0,41.27,18.23,1.41
20100122,0.0,38.6,18.92,0.98
20100123,0.0,36.55,19.18,1.12
20100124,0.0,42.29,19.15,0.97
20100125,0.0,49.1,19.76,0.68
20100126,0.0,45.9,20.72,0.54
20100127,0.0,39.69,20.26,0.82
20100128,0.0,44.58,20.67,0.47
20100129,0.0,43.72,20.47,1.07
20100130,0.0,34.27,20.09,1.54
20100131,0.0,36.25,20.51,1.29
20100201,0.0,42.3,20.9,0.78
20100202,0.0,41.27,21.56,1.08
20100203,0.0,46.69,22.62,0.84
20100204,0.17,52.12,22.2,0.89
20100205,0.0,49.53,21.42,1.78
20100206,0.0,35.43,20.61,1.64
20100207,0.0,35.69,21.27,1.34
20100208,0.0,35.14,22.67,1.34
20100209,0.0,38.79,23.38,1.24
20100210,0.0,52.31,23.14,1.67
20100211,0.0,51.5,23.84,1.62
20100212,0.0,48.87,24.61,1.68
20100213,0.0,44.55,25.0,0.8
20100214,0.0,45.65,25.47,1.04
20100215,0.22,54.08,25.38,2.1
20100216,0.47,56.06,25.68,1.2
20100217,0.06,51.5,26.73,1.4
20100218,0.0,41.58,26.18,1.45
20100219,0.06,51.83,25.9,0.88
20100220,0.11,40.85,25.34,1.52
20100221,0.0,32.31,25.05,1.13
20100222,0.0,29.73,25.07,1.0
20100223,0.03,30.88,26.19,1.58
20100224,0.04,49.86,27.39,2.18
20100225,0.0,31.51,26.3,2.72
20100226,0.18,28.9,26.92,1.15
20100227,0.4,28.78,25.7,2.3
20100228,0.0,23.93,26.27,2.08
20100301,0.0,24.92,27.05,1.3
20100302,0.0,22.62,28.07,1.73
20100303,0.0,24.74,28.65,2.04
20100304,0.0,31.16,29.59,1.8
20100305,0.0,30.29,30.45,1.69
20100306,0.0,31.4,30.22,1.41
20100307,0.0,43.51,30.17,1.29
20100308,0.0,45.44,30.26,1.04
20100309,0.0,53.22,29.74,1.83
20100310,1.7,53.45,29.3,1.9
20100311,0.51,53.45,28.99,1.96
20100312,0.02,42.34,30.43,1.76
20100313,0.0,33.91,30.13,1.05
20100314,0.73,30.0,30.08,1.81
20100315,0.06,27.92,30.14,1.46
20100316,0.0,41.57,29.86,1.58
20100317,0.06,47.24,29.51,2.55
20100318,0.03,39.95,29.84,1.46
20100319,0.0,27.65,30.95,1.56
20100320,0.0,28.02,30.92,1.32
20100321,0.0,26.26,31.22,0.9
20100322,0.0,21.34,31.47,1.56
20100323,0.0,23.75,31.62,1.67
20100324,0.0,31.97,31.97,2.23
20100325,0.0,34.76,31.72,2.16
20100326,0.27,39.88,31.68,1.82
20100327,0.13,34.93,32.47,2.75
20100328,0.13,31.22,33.29,2.77
20100329,0.26,30.13,32.88,1.83
20100330,0.15,31.22,33.59,2.55
20100331,0.01,33.7,33.51,3.85
20100401,0.0,24.66,33.31,3.07
20100402,0.0,25.78,32.85,2.27
20100403,0.0,31.24,33.14,2.27
20100404,0.0,27.37,33.7,2.34
20100405,0.0,22.96,33.72,1.57
20100406,0.0,24.83,34.05,1.43
20100407,0.0,31.62,33.27,1.91
20100408,0.0,38.45,32.61,1.5
20100409,0.0,19.45,33.44,2.05
20100410,0.0,20.81,34.55,2.37
20100411,0.0,27.36,34.59,2.01
20100412,0.0,30.55,34.47,2.41
20100413,0.0,27.73,34.51,2.72
20100414,0.0,29.86,34.39,2.08
20100415,0.0,46.24,33.07,2.48
20100416,0.0,43.42,33.11,2.67
20100417,0.0,37.6,34.45,2.94
20100418,0.0,31.72,35.6,3.26
20100419,0.02,30.21,35.77,3.74
20100420,0.01,23.23,36.36,3.58
20100421,0.0,21.89,35.63,3.37
20100422,0.0,26.73,35.57,2.62
20100423,0.14,29.6,35.44,2.35
20100424,0.03,30.42,35.3,3.52
20100425,0.75,33.15,34.56,3.26
20100426,0.02,36.91,34.63,3.53
20100427,0.0,38.16,34.47,3.03
20100428,0.17,39.26,34.46,2.47
20100429,0.09,46.03,33.13,3.44
20100430,3.41,45.81,32.74,3.0
20100501,0.19,46.49,31.35,2.28
20100502,0.15,41.18,31.6,2.11
20100503,0.55,50.42,30.28,2.44
20100504,0.06,48.36,31.42,2.34
20100505,38.08,58.18,30.36,2.5
20100506,12.12,60.37,30.03,2.89
20100507,6.79,59.62,30.88,2.23
20100508,1.06,53.42,32.59,2.59
20100509,0.0,44.57,34.1,2.02
20100510,0.0,42.5,34.7,2.67
20100511,0.0,39.06,34.9,1.8
20100512,0.0,41.6,34.65,2.84
20100513,0.0,44.89,34.77,3.03
20100514,0.65,44.74,34.85,3.84
20100515,2.71,49.87,33.85,3.3
20100516,0.81,47.48,34.09,3.37
20100517,0.0,48.93,33.68,3.58
20100518,0.68,55.15,31.76,4.08
20100519,2.06,71.25,29.61,3.88
20100520,12.15,79.42,28.18,3.74
20100521,17.11,86.18,27.6,3.0
20100522,28.13,90.88,27.11,3.6
20100523,9.64,88.81,27.18,2.84
20100524,14.0,70.43,30.31,1.81
20100525,5.98,67.5,31.68,2.67
20100526,0.39,48.5,33.83,2.5
20100527,2.69,43.13,34.21,2.73
20100528,7.05,65.71,31.53,2.22
20100529,3.18,65.26,31.45,1.96
20100530,0.52,65.42,31.1,2.3
20100531,0.01,50.47,33.05,3.0
20100601,0.0,51.52,33.36,2.28
20100602,0.0,52.57,33.42,2.62
20100603,0.0,47.81,34.26,2.52
20100604,0.09,47.38,34.3,3.13
20100605,0.0,49.29,34.32,2.57
20100606,0.17,44.42,35.16,2.69
20100607,0.46,61.23,31.83,2.25
20100608,0.59,58.98,31.83,1.82
20100609,0.38,61.05,31.32,2.71
20100610,6.69,73.33,29.07,1.59
20100611,7.83,74.31,28.95,2.23
20100612,20.57,81.29,28.31,2.67
20100613,40.79,90.06,27.45,2.21
20100614,11.21,89.04,27.55,2.61
20100615,2.21,78.32,28.68,2.97
20100616,1.66,80.05,28.1,3.3
20100617,1.18,77.47,28.19,2.79
20100618,1.93,80.09,27.95,2.12
20100619,4.88,84.08,27.32,2.76
20100620,11.58,84.31,27.53,2.41
20100621,1.31,83.83,27.52,2.8
20100622,0.25,80.99,28.13,2.41
20100623,15.22,83.18,27.89,1.6
20100624,31.12,79.31,28.01,1.18
20100625,23.57,86.13,27.52,1.6
20100626,12.83,87.85,27.59,2.06
20100627,2.99,86.57,27.58,2.37
20100628,4.54,83.7,28.22,2.09
20100629,12.12,83.21,28.61,1.68
20100630,5.02,87.56,27.73,0.81
20100701,4.58,84.43,27.25,0.85
20100702,15.01,83.38,27.07,1.7
20100703,8.38,87.74,26.5,2.8
20100704,5.17,87.74,26.49,3.31
20100705,12.61,86.95,26.43,1.79
20100706,23.92,89.18,26.18,2.92
20100707,5.87,86.99,26.67,4.16
20100708,1.34,82.89,27.09,3.06
20100709,0.15,81.67,27.8,2.59
20100710,4.85,82.08,28.13,2.73
20100711,6.73,86.86,27.76,3.09
20100712,3.05,85.38,27.27,2.13
20100713,2.23,83.67,27.2,2.43
20100714,25.86,88.3,26.04,2.31
20100715,2.24,85.97,27.2,2.22
20100716,0.19,84.46,27.76,2.52
20100717,0.18,86.08,27.49,2.21
20100718,0.01,82.2,28.21,2.21
20100719,0.04,84.31,28.02,2.54
20100720,0.74,83.5,27.85,2.6
20100721,9.6,85.82,27.23,2.09
20100722,16.08,91.5,27.16,3.13
20100723,17.46,88.69,27.25,2.34
20100724,34.64,90.26,26.78,3.2
20100725,43.39,88.69,26.32,4.19
20100726,8.66,84.01,26.17,3.35
20100727,3.72,83.64,26.96,1.85
20100728,2.61,84.82,27.33,1.83
20100729,3.48,87.36,27.22,1.89
20100730,4.71,89.8,26.56,2.18
20100731,4.4,87.36,26.95,2.39
20100801,3.88,86.87,26.98,1.85
20100802,9.42,87.52,26.56,1.43
20100803,26.5,87.26,26.8,1.66
20100804,51.23,90.07,26.51,1.95
20100805,81.15,94.36,25.71,2.01
20100806,15.43,88.68,26.34,3.04
20100807,0.87,86.04,25.9,1.97
20100808,0.76,82.46,26.91,1.57
20100809,0.48,81.97,27.54,1.4
20100810,0.59,82.52,28.13,1.25
20100811,1.31,85.86,27.68,1.46
20100812,5.43,88.8,26.86,1.54
20100813,5.93,87.97,26.76,1.79
20100814,4.58,88.83,26.51,1.9
20100815,1.69,89.35,26.44,2.29
20100816,2.21,87.32,26.72,1.77
20100817,0.54,84.74,27.22,1.35
20100818,0.03,87.4,27.18,1.82
20100819,0.95,86.42,27.38,2.13
20100820,12.56,87.29,26.41,2.58
20100821,1.03,85.3,26.56,2.17
20100822,0.28,80.15,27.16,1.55
20100823,0.11,83.2,27.66,1.14
20100824,3.44,85.11,27.29,1.52
20100825,5.44,88.28,26.62,2.47
20100826,26.64,90.55,26.56,2.75
20100827,11.64,90.61,26.62,1.98
20100828,1.69,87.41,26.67,1.84
20100829,2.7,88.43,26.27,1.82
20100830,7.41,87.43,26.57,2.44
20100831,4.86,86.34,26.22,2.61
20100901,0.79,84.62,26.77,2.21
20100902,6.0,83.84,27.99,0.99
20100903,7.08,88.03,27.37,2.35
20100904,3.61,88.49,27.12,3.1
20100905,1.35,88.69,27.16,1.8
20100906,12.33,87.78,27.64,1.99
20100907,11.49,89.35,27.3,1.41
20100908,5.97,89.05,26.66,2.09
20100909,0.81,85.92,27.22,1.75
20100910,15.43,85.58,27.11,1.24
20100911,25.66,89.47,25.85,1.19
20100912,17.43,87.37,26.18,1.05
20100913,8.82,86.13,26.44,0.99
20100914,3.41,87.68,26.21,0.75
20100915,3.87,87.24,26.24,1.23
20100916,10.94,90.03,26.2,1.73
20100917,41.11,92.76,25.63,1.65
20100918,36.14,92.96,25.28,2.63
20100919,14.07,90.24,25.9,3.81
20100920,5.13,88.27,26.2,2.0
20100921,0.98,84.3,26.91,0.94
20100922,4.58,89.52,25.95,1.36
20100923,13.19,86.05,26.11,1.16
20100924,4.71,81.86,26.44,1.27
20100925,0.01,79.9,26.65,0.99
20100926,0.17,84.51,26.5,0.87
20100927,0.11,84.37,26.95,0.91
20100928,1.09,83.86,26.78,1.33
20100929,1.2,78.61,26.4,1.2
20100930,1.19,83.92,24.96,1.16
20101001,7.41,87.15,25.42,1.37
20101002,4.49,88.79,25.5,1.17
20101003,0.74,82.37,26.67,0.9
20101004,0.35,79.13,26.94,0.92
20101005,6.13,85.06,26.03,1.64
20101006,15.11,92.79,25.02,2.24
20101007,27.53,91.5,25.33,2.29
20101008,8.18,92.65,24.85,3.0
20101009,0.32,85.93,25.29,1.19
20101010,0.06,83.35,26.04,0.94
20101011,0.0,79.16,26.23,0.93
20101012,0.0,78.52,25.17,1.65
20101013,0.0,82.67,24.26,2.07
20101014,9.95,87.11,24.24,2.28
20101015,32.98,94.83,24.37,4.82
20101016,7.45,89.44,25.01,4.48
20101017,4.6,89.39,25.32,2.66
20101018,1.43,89.03,25.58,1.91
20101019,0.0,81.72,26.38,0.75
20101020,0.3,80.16,26.6,0.65
20101021,0.91,80.68,26.91,0.82
20101022,8.89,85.47,26.68,0.92
20101023,2.08,88.06,25.5,1.32
20101024,0.64,81.84,25.01,1.68
20101025,0.63,82.69,23.91,0.83
20101026,0.1,81.94,23.62,0.92
20101027,0.05,80.41,24.5,0.86
20101028,0.21,78.01,24.15,1.21
20101029,1.08,83.87,23.24,1.44
20101030,9.76,86.58,22.23,1.29
20101031,10.32,90.2,22.11,1.49
20101101,7.64,91.49,22.53,1.57
20101102,3.15,89.67,22.81,1.89
20101103,0.04,87.16,23.52,1.63
20101104,0.0,84.31,23.78,1.47
20101105,0.0,78.95,22.45,1.36
20101106,0.01,83.26,22.35,1.76
20101107,6.76,91.03,23.23,2.62
20101108,22.51,92.91,24.27,2.79
20101109,1.56,89.5,24.62,1.86
20101110,0.84,82.58,24.74,0.71
20101111,0.1,88.69,24.21,1.07
20101112,1.09,84.03,24.28,0.64
20101113,0.48,80.72,23.88,1.07
20101114,0.0,85.98,23.32,1.34
20101115,0.0,83.14,23.03,1.32
20101116,0.03,79.39,22.62,1.02
20101117,0.31,72.08,22.98,0.61
20101118,0.0,70.56,23.62,0.58
20101119,0.0,74.66,23.77,0.68
20101120,0.32,77.68,23.97,0.86
20101121,0.26,82.12,23.38,1.32
20101122,0.38,79.71,21.78,1.04
20101123,0.02,76.48,22.25,0.49
20101124,0.0,72.2,22.2,0.54
20101125,0.0,73.62,22.23,0.72
20101126,0.0,78.9,22.57,0.97
20101127,0.0,78.87,23.79,0.69
20101128,0.15,77.72,24.09,0.68
20101129,0.0,80.33,23.51,0.86
20101130,0.0,84.52,23.07,1.02
20101201,0.0,85.24,21.92,1.35
20101202,0.0,77.17,20.41,1.11
20101203,0.0,70.45,19.76,1.15
20101204,0.0,68.34,19.18,1.47
20101205,0.05,75.74,19.0,1.57
20101206,8.84,88.55,18.26,2.03
20101207,7.53,89.74,18.76,1.74
20101208,28.99,95.66,19.27,2.82
20101209,3.35,92.23,22.22,1.05
20101210,0.83,92.14,22.22,1.64
20101211,0.04,83.89,21.36,1.66
20101212,0.0,77.47,20.59,1.23
20101213,0.43,85.88,20.35,1.3
20101214,0.15,84.32,20.42,1.06
20101215,0.0,73.06,17.89,1.42
20101216,0.0,69.16,16.42,1.23
20101217,0.0,66.39,16.06,1.24
20101218,0.0,65.65,16.54,1.38
20101219,0.0,62.24,16.77,1.42
20101220,0.0,64.39,15.7,1.6
20101221,0.0,67.7,14.36,1.91
20101222,0.0,65.1,14.72,1.4
20101223,0.0,59.91,16.7,0.78
20101224,0.0,64.8,17.6,1.2
20101225,0.0,69.11,17.58,1.43
20101226,0.0,68.15,17.72,0.93
20101227,0.0,66.34,17.58,1.06
20101228,0.0,65.34,17.35,0.93
20101229,0.0,63.57,17.39,1.06
20101230,0.0,62.52,17.48,0.95
20101231,0.0,65.28,17.8,0.84
20110101,0.0,79.09,18.25,1.78
20110102,0.0,76.38,17.56,1.58
20110103,0.0,74.39,17.0,1.22
20110104,0.0,65.57,14.28,1.57
20110105,0.0,64.72,14.85,1.09
20110106,0.0,62.14,15.44,1.2
20110107,0.0,64.12,15.92,1.04
20110108,0.0,65.09,16.23,0.99
20110109,0.0,67.69,17.76,0.67
20110110,0.0,64.86,16.37,1.72
20110111,0.0,56.73,14.39,1.67
20110112,0.0,55.68,14.75,1.78
20110113,0.0,54.64,16.43,1.51
20110114,0.0,55.65,18.06,1.31
20110115,0.0,58.12,18.99,1.14
20110116,0.0,67.07,18.42,2.35
20110117,0.0,52.92,15.27,2.07
20110118,0.0,50.1,16.41,1.21
20110119,0.0,55.39,18.2,1.32
20110120,0.0,55.33,17.77,1.39
20110121,0.0,57.37,17.55,0.98
20110122,0.0,51.23,17.78,1.61
20110123,0.0,53.93,19.22,0.86
20110124,0.0,52.13,19.81,1.03
20110125,0.0,50.99,21.14,0.96
20110126,0.0,53.57,21.75,0.74
20110127,0.0,52.82,22.47,1.01
20110128,0.0,62.6,21.64,1.15
20110129,0.01,71.61,21.77,1.21
20110130,0.54,66.52,22.5,1.07
20110131,0.0,56.69,22.92,0.84
20110201,0.0,55.52,21.51,1.48
20110202,0.0,61.53,21.33,1.16
20110203,0.0,63.98,21.33,1.18
20110204,0.0,60.82,21.43,0.73
20110205,0.0,55.37,20.88,1.22
20110206,0.0,62.18,21.48,1.08
20110207,0.0,48.39,22.17,1.14
20110208,0.0,37.53,22.31,1.39
20110209,0.0,41.34,22.89,1.43
20110210,0.0,48.68,22.89,1.67
20110211,0.0,54.85,23.36,1.41
20110212,0.0,43.93,23.42,1.6
20110213,0.0,35.97,23.69,1.44
20110214,0.0,39.19,24.08,1.08
20110215,0.0,44.79,24.26,1.93
20110216,0.0,44.53,23.24,2.45
20110217,0.0,59.61,24.02,1.23
20110218,0.0,59.83,24.63,1.38
20110219,18.47,82.37,23.14,1.65
20110220,16.44,84.58,22.46,2.27
20110221,3.22,81.53,20.33,2.37
20110222,0.0,56.21,20.79,1.14
20110223,0.0,53.39,22.37,0.72
