,PRECTOT,RH2M,T2M,WS2M
20100101,0.0,45.85,14.93,1.65
20100102,0.0,46.88,15.83,1.62
20100103,0.0,51.24,19.04,1.34
20100104,0.12,60.11,17.08,1.82
20100105,0.0,52.96,15.76,1.55
20100106,0.0,46.55,15.24,1.17
20100107,0.0,48.95,14.6,1.48
20100108,0.0,47.11,16.01,1.27
20100109,0.0,47.22,17.9,1.35
20100110,0.0,50.95,18.97,1.43
20100111,0.61,55.73,19.9,1.37
20100112,10.39,76.87,17.5,2.1
20100113,1.33,71.05,17.99,2.38
20100114,0.0,63.05,14.89,1.75
20100115,0.0,54.1,14.79,1.42
20100116,0.0,50.74,15.37,1.39
20100117,0.0,49.58,14.98,1.47
20100118,0.0,42.66,15.27,1.48
20100119,0.0,37.76,15.91,1.57
20100120,0.0,35.44,16.68,1.42
20100121,0.0,34.09,17.27,1.36
20100122,0.0,35.48,17.48,1.34
20100123,0.0,35.36,17.74,1.35
20100124,0.0,34.32,18.77,1.43
20100125,0.0,36.56,19.0,1.24
20100126,0.0,40.97,17.85,1.37
20100127,0.0,39.16,18.32,1.18
20100128,0.0,39.04,18.39,1.21
20100129,0.0,39.32,19.51,1.38
20100130,0.0,37.28,21.53,0.91
20100131,0.0,38.3,21.35,1.4
20100201,0.0,40.22,20.89,1.47
20100202,0.18,44.77,21.08,1.3
20100203,0.17,46.54,20.87,1.89
20100204,0.06,53.83,19.18,1.71
20100205,0.0,49.29,20.39,1.07
20100206,0.0,36.01,21.31,1.28
20100207,0.0,28.37,22.27,1.28
20100208,0.0,31.19,23.26,2.06
20100209,0.11,39.87,23.74,2.22
20100210,1.25,48.07,22.52,1.25
20100211,3.39,54.09,22.12,1.95
20100212,0.1,50.76,23.92,2.36
20100213,0.0,52.93,21.98,1.88
20100214,0.0,49.69,22.59,1.8
20100215,0.19,35.42,23.51,2.06
20100216,0.77,33.97,21.66,1.5
20100217,0.0,32.85,20.61,1.78
20100218,0.0,23.8,19.96,1.72
20100219,0.0,18.08,21.5,1.85
20100220,0.0,20.34,22.73,1.83
20100221,0.0,20.69,23.06,1.66
20100222,0.11,30.4,22.83,1.6
20100223,0.0,33.91,24.88,2.56
20100224,0.0,26.96,22.52,1.7
20100225,0.0,25.44,23.31,1.55
20100226,0.0,23.65,24.11,1.59
20100227,0.0,20.3,25.42,1.52
20100228,0.0,15.72,27.03,1.27
20100301,0.0,15.97,27.57,1.19
20100302,0.0,19.0,27.45,1.64
20100303,0.0,23.88,27.66,2.3
20100304,0.0,22.48,27.37,2.25
20100305,0.0,30.22,26.54,1.92
20100306,0.0,32.1,27.16,2.05
20100307,0.0,27.66,26.0,2.2
20100308,0.0,19.46,25.33,1.8
20100309,0.0,20.29,26.28,2.09
20100310,0.1,20.89,27.18,1.95
20100311,3.97,33.56,27.24,1.15
20100312,0.4,38.94,28.73,2.14
20100313,0.0,20.42,27.47,2.22
20100314,0.0,15.06,27.7,1.67
20100315,0.0,15.44,29.26,1.36
20100316,0.0,17.17,29.44,1.05
20100317,0.0,17.43,29.22,1.63
20100318,0.0,19.24,29.37,1.82
20100319,0.0,20.1,29.67,1.7
20100320,0.0,15.81,30.68,1.42
20100321,0.0,12.8,31.74,1.45
20100322,0.0,12.46,31.43,1.77
20100323,0.0,15.28,30.5,2.05
20100324,0.0,16.12,30.72,1.75
20100325,0.0,17.27,30.45,2.02
20100326,0.0,18.61,31.1,2.18
20100327,0.0,19.01,31.04,2.13
20100328,0.0,17.73,31.28,2.37
20100329,0.0,15.26,31.53,2.38
20100330,0.0,15.82,30.34,3.44
20100331,0.0,19.97,29.79,3.51
20100401,0.0,22.71,29.62,2.79
20100402,0.0,21.25,30.2,2.1
20100403,0.0,18.03,30.15,2.27
20100404,0.0,10.61,29.35,2.02
20100405,0.0,10.45,30.98,1.72
20100406,0.0,12.32,31.72,1.38
20100407,0.0,12.56,31.8,1.75
20100408,0.0,11.27,32.68,1.47
20100409,0.0,13.65,32.62,1.95
20100410,0.0,17.76,32.54,2.96
20100411,0.0,14.15,32.37,2.47
20100412,0.0,16.76,32.1,2.67
20100413,0.0,13.97,32.84,1.93
20100414,0.0,13.7,33.22,1.67
20100415,0.0,10.57,34.44,1.49
20100416,0.0,9.03,35.52,1.46
20100417,0.0,10.0,35.69,1.72
20100418,0.0,14.53,35.1,3.05
20100419,0.0,19.12,34.71,4.11
20100420,0.0,20.12,33.5,4.58
20100421,0.0,19.52,33.76,3.91
20100422,0.0,20.58,33.79,2.7
20100423,0.0,14.15,32.94,2.85
20100424,0.0,10.9,33.17,1.34
20100425,0.0,13.76,32.91,2.5
20100426,0.0,16.26,34.42,1.48
20100427,0.0,14.82,35.46,1.64
20100428,0.0,15.66,35.67,2.42
20100429,0.0,17.05,35.43,1.98
20100430,0.08,24.9,32.86,3.95
20100501,0.05,38.43,30.33,2.98
20100502,0.0,33.8,29.66,2.7
20100503,0.03,20.76,33.46,3.35
20100504,0.01,17.24,34.71,2.65
20100505,0.0,18.66,35.04,2.6
20100506,0.0,18.45,35.38,2.58
20100507,0.0,17.84,35.81,2.69
20100508,0.23,17.82,35.41,2.33
20100509,0.0,17.8,35.32,2.6
20100510,0.0,15.98,34.9,2.82
20100511,0.0,13.03,34.66,2.71
20100512,0.0,12.73,35.94,1.76
20100513,0.0,12.98,36.94,1.39
20100514,0.0,14.79,37.09,2.84
20100515,0.0,17.54,35.94,2.88
20100516,0.0,17.19,36.41,1.87
20100517,0.0,18.01,37.66,2.75
20100518,0.0,14.53,38.09,3.47
20100519,0.0,16.64,37.81,1.65
20100520,0.64,22.33,37.27,1.45
20100521,0.0,24.32,37.12,2.15
20100522,0.0,24.88,36.57,2.74
20100523,0.0,21.2,36.62,2.72
20100524,0.0,13.59,37.83,3.53
20100525,0.0,17.69,37.96,4.96
20100526,0.0,24.92,37.6,5.83
20100527,0.0,30.19,36.47,5.39
20100528,0.01,32.22,35.98,4.77
20100529,0.0,24.71,36.54,5.05
20100530,0.0,21.4,35.88,4.54
20100531,0.0,20.14,36.08,3.34
20100601,0.0,20.63,36.76,3.41
20100602,0.0,23.17,36.36,3.82
20100603,0.01,33.26,35.55,3.9
20100604,0.17,33.47,35.47,3.94
20100605,0.01,32.3,35.96,4.93
20100606,0.0,28.93,36.27,4.32
20100607,0.0,30.96,35.29,4.74
20100608,0.0,36.22,33.96,4.64
20100609,0.0,26.59,34.38,2.5
20100610,0.0,19.99,36.06,2.51
20100611,0.0,19.98,36.98,2.36
20100612,0.0,17.88,36.84,2.49
20100613,0.0,24.25,37.67,2.76
20100614,1.83,42.41,34.01,4.54
20100615,12.37,45.64,32.28,1.28
20100616,9.4,66.96,29.28,1.73
20100617,2.49,66.11,29.59,2.95
20100618,0.17,51.72,32.03,2.26
20100619,2.97,50.15,32.76,2.48
20100620,0.52,55.61,31.99,4.05
20100621,8.31,59.67,31.28,4.77
20100622,0.74,58.06,31.62,4.93
20100623,7.45,56.11,32.04,3.91
20100624,19.53,66.16,30.07,3.19
20100625,6.61,63.63,30.54,2.22
20100626,0.05,53.49,32.14,2.19
20100627,0.74,53.54,32.74,2.51
20100628,12.33,67.61,30.37,2.76
20100629,16.61,66.97,30.29,1.92
20100630,14.85,69.87,30.21,2.12
20100701,19.57,77.14,28.29,2.5
20100702,17.08,81.26,27.11,1.86
20100703,9.53,79.67,27.81,2.13
20100704,6.95,80.22,27.64,2.12
20100705,4.05,79.32,26.69,3.32
20100706,9.94,80.14,27.13,1.53
20100707,20.91,84.01,26.92,1.01
20100708,32.61,84.16,27.22,1.58
20100709,10.15,81.88,27.55,3.33
20100710,0.04,86.91,26.88,3.11
20100711,15.1,88.15,26.82,3.8
20100712,11.49,83.39,26.68,3.54
20100713,5.12,81.13,26.9,3.14
20100714,23.97,83.82,27.15,2.23
20100715,11.44,86.13,26.96,2.45
20100716,2.66,83.62,28.22,2.22
20100717,0.66,79.81,28.42,3.4
20100718,6.66,82.63,28.37,1.52
20100719,5.78,85.2,27.46,1.55
20100720,6.17,81.22,28.01,1.58
20100721,19.35,80.08,28.42,1.32
20100722,6.0,82.55,27.91,1.52
20100723,2.09,84.24,26.67,2.81
20100724,7.99,87.33,26.06,2.66
20100725,38.77,91.8,25.42,3.09
20100726,39.54,91.0,25.18,4.24
20100727,0.91,83.5,26.43,3.07
20100728,0.29,79.94,27.26,1.4
20100729,7.01,83.39,27.35,2.01
20100730,13.8,88.05,27.06,2.29
20100731,14.15,91.23,26.2,1.77
20100801,34.82,88.09,25.61,2.79
20100802,37.2,90.4,25.77,2.47
20100803,8.53,87.38,26.06,3.04
20100804,5.66,88.67,25.38,4.17
20100805,3.26,86.92,25.46,1.94
20100806,14.32,87.55,26.72,2.65
20100807,10.54,88.1,26.99,3.15
20100808,2.28,88.46,24.2,3.99
20100809,1.73,85.53,26.16,3.03
20100810,2.28,83.9,26.52,2.22
20100811,24.78,84.98,27.3,1.84
20100812,12.16,89.1,26.82,1.1
20100813,20.33,92.33,25.83,1.36
20100814,27.25,92.62,25.86,1.75
20100815,27.56,92.74,25.39,1.45
20100816,5.03,85.96,26.78,0.87
20100817,1.76,88.42,26.86,1.69
20100818,7.31,90.24,26.41,1.65
20100819,4.52,88.11,26.58,1.37
20100820,5.93,89.34,26.31,1.44
20100821,7.55,87.45,26.6,1.35
20100822,0.49,88.8,26.12,1.6
20100823,0.02,89.09,26.16,1.97
20100824,14.51,89.89,25.9,1.4
20100825,15.27,88.89,26.0,0.73
20100826,12.46,86.49,26.71,1.33
20100827,14.06,85.54,26.72,1.33
20100828,2.56,82.4,27.54,1.29
20100829,20.06,88.98,26.97,1.1
20100830,22.98,90.21,26.5,1.2
20100831,17.67,90.28,26.02,1.87
20100901,6.96,89.06,26.06,2.42
20100902,15.62,93.38,25.08,2.57
20100903,18.58,91.13,25.65,2.22
20100904,9.56,88.69,26.43,1.5
20100905,46.83,91.97,25.99,3.24
20100906,11.16,92.92,25.65,3.12
20100907,17.31,91.18,26.3,1.61
20100908,21.52,91.87,26.5,1.25
20100909,13.38,92.37,25.85,2.03
20100910,4.04,89.55,25.45,2.79
20100911,0.14,87.42,25.6,1.95
20100912,0.95,86.99,25.72,1.54
20100913,0.89,89.46,25.41,1.42
20100914,12.74,86.64,25.88,1.24
20100915,15.68,85.06,26.07,1.25
20100916,8.31,88.25,25.7,1.16
20100917,8.17,86.02,25.22,1.89
20100918,14.79,87.54,24.48,2.42
20100919,8.17,91.77,24.96,2.38
20100920,4.76,90.46,24.53,2.92
20100921,0.12,85.99,24.59,2.37
20100922,0.56,81.85,24.9,1.53
20100923,2.91,77.48,26.21,0.97
20100924,1.26,73.82,26.21,1.02
20100925,3.92,69.68,25.49,1.08
20100926,0.82,69.34,25.35,1.01
20100927,0.0,69.33,25.06,1.09
20100928,0.0,61.93,25.28,0.93
20100929,0.0,68.15,24.4,1.27
20100930,0.0,71.84,23.84,1.31
20101001,0.0,76.08,23.87,1.41
20101002,0.0,76.83,25.04,1.24
20101003,0.0,82.4,25.71,1.36
20101004,3.54,85.95,25.44,1.67
20101005,0.12,79.66,25.0,1.42
20101006,0.0,75.1,24.56,1.52
20101007,0.0,84.72,24.33,2.49
20101008,0.0,84.68,24.65,1.75
20101009,0.0,77.58,25.44,0.77
20101010,0.0,64.89,25.64,1.16
20101011,0.05,61.17,25.95,0.6
20101012,0.0,70.75,25.2,1.04
20101013,0.03,71.58,24.59,1.35
20101014,0.02,70.13,24.03,1.39
20101015,0.0,77.65,23.56,1.76
