,PRECTOT,RH2M,T2M,WS2M
20100101,0.0,10.06,-13.28,1.74
20100102,0.0,14.98,-12.83,2.3
20100103,3.31,41.68,-13.08,3.89
20100104,0.33,43.23,-13.57,2.07
20100105,0.0,23.42,-13.94,3.04
20100106,0.0,21.8,-13.49,1.77
20100107,0.0,21.6,-14.07,2.82
20100108,0.0,25.52,-16.35,3.19
20100109,0.0,31.84,-17.14,3.66
20100110,0.0,28.6,-17.2,3.53
20100111,0.0,28.06,-16.67,2.54
20100112,0.0,24.33,-16.14,1.97
20100113,2.26,56.76,-16.88,1.28
20100114,0.0,39.22,-16.12,1.89
20100115,0.0,35.64,-14.72,3.17
20100116,0.0,35.66,-14.1,2.27
20100117,0.0,45.74,-14.49,3.43
20100118,0.0,48.81,-17.58,3.43
20100119,0.0,44.81,-17.25,3.65
20100120,0.0,55.43,-16.21,2.27
20100121,0.0,51.78,-15.9,1.82
20100122,0.0,55.12,-15.44,1.9
20100123,0.0,47.31,-15.37,2.71
20100124,0.0,52.23,-15.25,1.78
20100125,0.0,51.73,-16.04,2.57
20100126,0.0,37.19,-16.05,2.16
20100127,0.0,47.87,-15.45,3.21
20100128,0.0,48.53,-15.46,2.67
20100129,0.07,49.72,-16.06,3.61
20100130,0.0,35.04,-15.87,2.92
20100131,0.0,36.47,-16.42,3.31
20100201,0.0,43.95,-17.36,2.66
20100202,0.0,37.27,-18.0,2.93
20100203,0.0,37.27,-18.0,3.0
20100204,0.0,40.49,-17.06,3.21
20100205,0.04,49.15,-15.55,2.99
20100206,0.05,65.33,-14.26,2.99
20100207,0.05,74.9,-13.32,3.71
20100208,0.77,74.49,-11.23,6.16
20100209,2.08,51.75,-12.98,9.92
20100210,0.04,39.39,-16.52,6.14
20100211,0.03,49.08,-15.88,4.62
20100212,0.01,51.88,-16.96,4.58
20100213,0.0,44.51,-18.0,3.64
20100214,0.01,50.04,-18.06,5.05
20100215,0.01,53.66,-18.54,4.55
20100216,0.01,45.97,-17.2,4.68
20100217,0.01,40.2,-17.88,2.9
20100218,0.0,39.18,-15.15,2.22
20100219,0.0,42.89,-13.3,2.55
20100220,0.0,37.23,-12.19,2.47
20100221,0.0,32.92,-10.96,2.09
20100222,0.1,39.89,-11.65,2.99
20100223,0.15,46.91,-12.0,2.53
20100224,0.01,46.89,-12.96,2.68
20100225,0.0,41.39,-11.74,2.6
20100226,0.02,53.94,-10.89,3.35
20100227,0.0,45.41,-10.66,2.86
20100228,0.05,51.2,-9.47,3.68
20100301,0.02,61.2,-9.76,5.32
20100302,0.0,28.34,-11.06,4.22
20100303,0.02,41.22,-11.55,3.22
20100304,0.05,59.94,-10.49,5.58
20100305,0.01,33.62,-10.56,5.17
20100306,0.02,31.89,-12.1,3.59
20100307,0.02,44.66,-12.53,2.32
20100308,0.0,32.22,-10.33,3.14
20100309,0.0,25.62,-9.71,1.89
20100310,0.0,25.24,-8.99,1.86
20100311,0.0,22.44,-8.35,2.9
20100312,0.0,30.01,-9.28,3.32
20100313,0.0,30.53,-8.7,3.0
20100314,0.0,34.72,-8.55,1.73
20100315,0.0,18.13,-6.97,1.08
20100316,0.0,19.87,-5.69,1.91
20100317,0.0,18.32,-4.9,1.56
20100318,0.0,13.75,-2.63,1.58
20100319,0.0,14.15,-0.55,1.35
20100320,0.0,17.19,-0.22,2.2
20100321,0.0,26.41,-1.34,4.59
20100322,0.11,31.78,-2.32,5.7
20100323,0.1,38.05,-3.21,6.4
20100324,0.0,30.56,-3.91,4.38
20100325,0.0,22.51,-2.55,3.04
20100326,0.0,33.95,-2.69,3.41
20100327,0.0,34.36,-4.35,4.57
20100328,0.0,29.67,-3.16,4.55
20100329,0.01,35.96,-3.2,4.27
20100330,0.04,38.55,-4.9,6.07
20100331,0.0,33.84,-6.28,5.33
20100401,0.0,24.06,-6.4,4.43
20100402,0.0,24.93,-6.33,4.83
20100403,0.01,29.82,-4.88,4.4
20100404,0.0,31.31,-5.21,4.8
20100405,0.0,25.8,-5.55,4.83
20100406,0.0,17.57,-4.55,2.86
20100407,0.0,16.27,-2.33,3.57
20100408,0.0,29.99,-2.4,4.56
20100409,0.0,30.27,-2.44,3.95
20100410,0.0,28.62,-1.77,3.74
20100411,0.0,35.16,-1.14,3.78
20100412,0.01,48.92,-2.39,4.93
20100413,0.0,25.3,-3.3,2.63
20100414,0.0,11.8,-2.07,1.4
20100415,0.0,16.47,-0.8,3.27
20100416,0.0,31.24,-0.14,3.63
20100417,0.0,39.5,-0.24,3.63
20100418,0.01,55.86,-0.6,5.4
20100419,0.22,55.62,-0.51,6.42
20100420,0.03,46.34,-0.73,4.68
20100421,0.01,52.39,-2.26,3.99
20100422,0.0,39.15,-2.48,5.16
20100423,0.0,38.78,-2.74,5.21
20100424,0.0,34.57,-4.0,3.37
20100425,0.0,33.63,-3.02,1.74
20100426,0.0,26.12,-1.81,2.17
20100427,0.0,24.44,0.5,2.89
20100428,0.01,50.04,-0.92,2.93
20100429,0.0,35.96,-0.17,2.87
20100430,0.0,36.71,0.24,2.67
20100501,0.0,42.74,-0.47,3.53
20100502,0.0,27.55,0.97,1.12
20100503,0.0,12.22,2.63,2.39
20100504,0.0,12.97,3.45,2.35
20100505,0.02,30.37,2.9,3.38
20100506,0.0,43.55,1.21,3.86
20100507,0.14,48.52,0.2,3.76
20100508,0.0,31.3,0.21,3.37
20100509,0.0,28.65,0.88,3.08
20100510,0.01,29.72,-0.41,4.38
20100511,0.0,37.34,-1.26,4.11
20100512,0.0,26.03,-0.49,3.52
20100513,0.01,34.08,-0.92,4.52
20100514,0.0,43.71,-2.26,5.49
20100515,0.0,30.79,-0.71,5.2
20100516,0.0,35.06,0.43,4.71
20100517,0.0,47.67,1.2,4.95
20100518,0.05,49.28,1.34,6.71
20100519,0.02,46.23,0.1,6.22
20100520,0.0,29.8,-0.73,2.98
20100521,0.0,14.25,2.52,1.97
20100522,0.0,24.28,3.12,3.99
20100523,0.11,43.08,1.52,3.85
20100524,0.0,26.64,1.84,4.89
20100525,0.0,23.35,1.61,2.99
20100526,0.0,12.62,2.27,2.69
20100527,0.03,24.97,2.13,3.65
20100528,0.05,44.41,0.83,5.5
20100529,0.06,43.56,-0.2,4.59
20100530,0.0,33.05,-0.44,3.22
20100531,0.0,13.7,1.01,1.72
20100601,0.0,18.47,3.14,2.18
20100602,0.0,24.2,3.49,3.08
20100603,0.01,38.19,1.93,3.6
20100604,0.09,35.59,1.51,3.5
20100605,0.01,33.92,-0.26,4.73
20100606,0.0,20.82,-0.03,3.31
20100607,0.82,29.41,2.67,3.05
20100608,0.57,50.71,2.63,4.77
20100609,0.04,41.03,1.97,3.48
20100610,0.02,36.34,1.83,3.38
20100611,0.0,31.77,3.26,1.96
20100612,0.0,36.69,3.99,2.11
20100613,0.02,37.31,3.41,2.95
20100614,0.0,38.71,3.45,3.09
20100615,0.01,30.38,3.76,3.0
20100616,0.01,44.53,2.96,3.39
20100617,0.0,37.99,3.4,3.48
