Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,53.27,31.7,15.58,16.12,3.3,4.6,16.75198332,80.25077264
20100102,0.0,68.71,30.61,18.08,12.52,2.57,3.59,16.75198332,80.25077264
20100103,0.0,59.89,30.91,17.4,13.51,1.26,3.19,16.75198332,80.25077264
20100104,0.0,57.62,31.56,16.3,15.26,2.83,3.97,16.75198332,80.25077264
20100105,0.0,60.46,32.15,17.69,14.46,2.55,4.84,16.75198332,80.25077264
20100106,0.0,62.52,31.15,17.49,13.65,1.69,3.55,16.75198332,80.25077264
20100107,0.0,65.97,30.5,16.57,13.92,1.47,3.64,16.75198332,80.25077264
20100108,0.14,63.12,31.12,16.39,14.73,1.45,3.39,16.75198332,80.25077264
20100109,0.45,66.74,32.07,20.36,11.71,2.22,2.68,16.75198332,80.25077264
20100110,0.08,70.15,32.26,20.38,11.88,2.52,3.32,16.75198332,80.25077264
20100111,0.45,70.26,33.0,21.87,11.13,2.43,3.03,16.75198332,80.25077264
20100112,0.03,68.94,33.93,22.13,11.8,3.08,3.68,16.75198332,80.25077264
20100113,2.14,71.69,33.33,22.27,11.06,2.0,1.81,16.75198332,80.25077264
20100114,0.29,75.01,30.7,22.8,7.9,1.32,2.31,16.75198332,80.25077264
20100115,0.06,74.66,29.38,22.35,7.02,2.16,1.71,16.75198332,80.25077264
20100116,0.06,74.54,28.32,21.65,6.67,2.08,2.29,16.75198332,80.25077264
20100117,0.01,63.66,32.48,20.34,12.14,1.4,2.45,16.75198332,80.25077264
20100118,0.0,60.14,31.58,19.7,11.89,2.26,4.1,16.75198332,80.25077264
20100119,0.0,43.78,32.75,17.63,15.12,3.61,4.07,16.75198332,80.25077264
20100120,0.0,50.3,32.18,15.91,16.27,1.39,3.25,16.75198332,80.25077264
20100121,0.0,52.96,31.8,16.38,15.41,2.26,4.98,16.75198332,80.25077264
20100122,0.0,55.37,31.59,16.2,15.39,1.91,4.32,16.75198332,80.25077264
20100123,0.0,55.29,31.87,15.97,15.9,1.73,4.28,16.75198332,80.25077264
20100124,0.0,53.94,31.76,16.63,15.13,2.96,5.62,16.75198332,80.25077264
20100125,0.0,51.21,32.56,16.46,16.1,1.75,3.93,16.75198332,80.25077264
20100126,0.0,54.68,32.49,17.33,15.16,2.4,4.59,16.75198332,80.25077264
20100127,0.0,58.99,31.7,18.69,13.01,1.86,3.35,16.75198332,80.25077264
20100128,0.0,55.03,32.19,18.95,13.23,3.28,5.58,16.75198332,80.25077264
20100129,0.0,51.53,32.96,19.12,13.84,2.77,4.86,16.75198332,80.25077264
20100130,0.0,43.76,33.76,19.62,14.14,2.65,3.91,16.75198332,80.25077264
20100131,0.0,49.35,33.73,18.02,15.71,3.0,5.55,16.75198332,80.25077264
20100201,0.0,54.31,33.17,17.78,15.39,2.51,4.71,16.75198332,80.25077264
20100202,0.0,55.71,32.63,18.78,13.86,2.82,4.19,16.75198332,80.25077264
20100203,0.0,51.01,34.22,17.75,16.47,2.68,5.21,16.75198332,80.25077264
20100204,0.01,50.0,33.81,18.05,15.76,2.31,3.87,16.75198332,80.25077264
20100205,0.0,48.93,34.55,18.16,16.39,2.01,3.61,16.75198332,80.25077264
20100206,0.0,54.02,34.21,19.73,14.48,3.46,5.66,16.75198332,80.25077264
20100207,0.0,55.38,34.03,19.8,14.23,1.99,4.0,16.75198332,80.25077264
20100208,0.0,47.99,35.2,18.29,16.92,4.41,7.18,16.75198332,80.25077264
20100209,0.0,46.14,35.24,17.17,18.07,3.79,5.22,16.75198332,80.25077264
20100210,0.0,49.45,34.98,16.63,18.35,3.11,5.08,16.75198332,80.25077264
20100211,0.0,52.59,34.76,18.03,16.72,3.57,4.87,16.75198332,80.25077264
20100212,0.0,50.95,35.55,18.52,17.03,4.8,7.59,16.75198332,80.25077264
20100213,0.0,52.88,36.94,18.96,17.98,3.95,5.45,16.75198332,80.25077264
20100214,0.0,50.98,37.03,19.77,17.27,4.25,6.79,16.75198332,80.25077264
20100215,0.03,51.81,37.21,20.18,17.03,4.42,5.0,16.75198332,80.25077264
20100216,0.02,53.66,37.24,20.7,16.54,4.14,4.03,16.75198332,80.25077264
20100217,0.05,52.5,37.9,20.05,17.85,2.63,3.95,16.75198332,80.25077264
20100218,0.01,46.24,38.6,20.97,17.63,4.57,6.8,16.75198332,80.25077264
20100219,0.0,48.75,38.08,21.99,16.09,3.5,4.77,16.75198332,80.25077264
20100220,0.0,47.63,38.63,21.44,17.19,3.55,5.45,16.75198332,80.25077264
20100221,0.02,51.11,37.98,21.88,16.1,3.68,5.69,16.75198332,80.25077264
20100222,0.06,49.0,38.62,22.3,16.32,4.14,6.26,16.75198332,80.25077264
20100223,0.3,51.7,38.08,22.66,15.43,3.58,3.75,16.75198332,80.25077264
20100224,0.0,51.59,37.73,24.87,12.86,2.77,3.79,16.75198332,80.25077264
20100225,0.0,51.42,38.66,22.66,16.01,3.93,4.1,16.75198332,80.25077264
20100226,0.0,47.37,38.44,24.01,14.43,3.51,4.1,16.75198332,80.25077264
20100227,0.0,40.54,39.4,22.32,17.08,2.54,4.57,16.75198332,80.25077264
20100228,0.0,39.87,39.54,21.52,18.02,2.72,4.86,16.75198332,80.25077264
20100301,0.0,44.87,39.09,21.19,17.9,3.0,4.22,16.75198332,80.25077264
20100302,0.0,40.76,39.48,21.24,18.24,2.65,5.3,16.75198332,80.25077264
20100303,0.0,36.41,40.25,21.7,18.55,3.8,5.91,16.75198332,80.25077264
20100304,0.0,40.13,40.1,22.19,17.91,3.3,4.02,16.75198332,80.25077264
20100305,0.0,43.44,40.14,22.6,17.53,2.86,4.39,16.75198332,80.25077264
20100306,0.0,47.47,40.36,23.07,17.28,4.12,4.05,16.75198332,80.25077264
20100307,0.0,46.02,40.51,23.73,16.78,2.85,4.46,16.75198332,80.25077264
20100308,0.0,43.89,41.0,25.62,15.39,4.35,5.73,16.75198332,80.25077264
20100309,0.0,46.15,40.61,24.5,16.12,4.66,5.13,16.75198332,80.25077264
20100310,0.0,49.21,39.76,23.74,16.02,3.91,4.13,16.75198332,80.25077264
20100311,0.0,45.05,40.24,23.9,16.34,4.38,5.21,16.75198332,80.25077264
20100312,0.0,44.22,39.78,23.4,16.38,2.7,3.7,16.75198332,80.25077264
20100313,0.0,42.8,37.13,24.06,13.07,2.97,5.2,16.75198332,80.25077264
20100314,0.0,40.61,38.12,25.17,12.95,2.69,4.66,16.75198332,80.25077264
20100315,0.0,35.62,42.05,25.18,16.88,3.13,4.9,16.75198332,80.25077264
20100316,0.0,42.95,41.46,24.16,17.3,3.9,4.81,16.75198332,80.25077264
20100317,0.0,44.2,40.31,23.8,16.51,4.51,6.4,16.75198332,80.25077264
20100318,0.0,43.35,40.18,22.92,17.26,4.16,5.89,16.75198332,80.25077264
20100319,0.0,34.56,40.8,23.75,17.04,2.83,5.0,16.75198332,80.25077264
20100320,0.0,30.54,41.65,23.35,18.3,2.34,5.25,16.75198332,80.25077264
20100321,0.0,30.0,42.24,23.24,19.0,3.21,6.21,16.75198332,80.25077264
20100322,0.0,32.03,42.6,22.95,19.65,4.35,7.49,16.75198332,80.25077264
20100323,0.0,39.44,41.9,22.16,19.74,4.07,5.74,16.75198332,80.25077264
20100324,0.0,46.46,41.66,22.73,18.93,4.47,5.48,16.75198332,80.25077264
20100325,0.0,47.54,41.38,23.71,17.68,5.14,5.96,16.75198332,80.25077264
20100326,0.0,47.39,41.19,23.51,17.68,4.56,4.93,16.75198332,80.25077264
20100327,0.0,50.83,40.58,23.51,17.07,3.85,3.75,16.75198332,80.25077264
20100328,0.0,50.29,41.77,25.01,16.76,3.84,4.68,16.75198332,80.25077264
20100329,0.01,47.57,42.23,25.12,17.11,4.01,4.17,16.75198332,80.25077264
20100330,0.01,48.62,42.13,25.6,16.52,4.14,4.67,16.75198332,80.25077264
20100331,0.34,46.66,39.45,27.04,12.41,3.32,2.97,16.75198332,80.25077264
20100401,0.08,41.47,43.2,26.64,16.57,4.4,6.25,16.75198332,80.25077264
20100402,0.0,43.22,43.39,26.59,16.8,3.78,5.78,16.75198332,80.25077264
20100403,0.0,48.28,42.4,26.57,15.83,5.06,6.1,16.75198332,80.25077264
