Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,66.07,20.49,7.49,12.99,2.47,4.28,25.25198332,87.75077264
20100102,0.0,63.31,21.17,6.42,14.75,1.54,3.48,25.25198332,87.75077264
20100103,0.0,62.84,21.32,5.88,15.44,2.22,5.0,25.25198332,87.75077264
20100104,0.0,65.38,21.15,6.16,14.99,2.45,4.41,25.25198332,87.75077264
20100105,0.0,68.6,21.28,7.79,13.49,2.54,6.12,25.25198332,87.75077264
20100106,0.0,65.08,21.97,7.34,14.63,2.47,3.77,25.25198332,87.75077264
20100107,0.0,63.6,23.23,8.29,14.94,2.23,4.25,25.25198332,87.75077264
20100108,0.0,60.92,23.68,8.25,15.44,1.91,5.06,25.25198332,87.75077264
20100109,0.0,60.81,22.55,7.23,15.32,2.33,3.99,25.25198332,87.75077264
20100110,0.0,59.16,22.23,6.9,15.32,2.17,3.13,25.25198332,87.75077264
20100111,0.0,55.98,22.57,6.72,15.85,2.35,3.52,25.25198332,87.75077264
20100112,0.0,51.39,22.26,6.66,15.6,2.55,3.97,25.25198332,87.75077264
20100113,0.0,52.98,22.64,9.04,13.59,1.71,2.94,25.25198332,87.75077264
20100114,0.0,69.82,21.72,11.4,10.32,1.84,2.81,25.25198332,87.75077264
20100115,0.0,65.84,23.85,8.95,14.9,1.43,3.22,25.25198332,87.75077264
20100116,0.0,59.97,23.92,8.29,15.64,2.95,5.59,25.25198332,87.75077264
20100117,0.0,58.62,24.67,9.92,14.75,1.31,2.29,25.25198332,87.75077264
20100118,0.0,54.62,24.74,9.8,14.93,1.81,4.27,25.25198332,87.75077264
20100119,0.0,52.77,23.8,8.99,14.81,2.06,4.8,25.25198332,87.75077264
20100120,0.0,47.99,24.37,7.34,17.03,2.67,5.3,25.25198332,87.75077264
20100121,0.0,47.37,24.35,7.42,16.94,1.51,3.15,25.25198332,87.75077264
20100122,0.0,45.96,24.82,7.48,17.34,1.74,3.95,25.25198332,87.75077264
20100123,0.0,45.71,24.75,8.11,16.65,2.43,4.37,25.25198332,87.75077264
20100124,0.0,43.78,24.37,8.06,16.3,2.06,3.41,25.25198332,87.75077264
20100125,0.0,50.22,25.56,10.29,15.27,2.07,3.72,25.25198332,87.75077264
20100126,0.0,46.78,25.63,10.26,15.37,2.85,3.13,25.25198332,87.75077264
20100127,0.0,46.72,25.35,8.51,16.85,1.34,3.55,25.25198332,87.75077264
20100128,0.0,47.53,24.32,10.06,14.26,1.58,1.77,25.25198332,87.75077264
20100129,0.0,43.88,25.37,9.37,16.01,1.54,2.08,25.25198332,87.75077264
20100130,0.0,45.35,25.16,9.36,15.81,1.58,1.92,25.25198332,87.75077264
20100131,0.0,48.36,25.14,10.59,14.55,1.7,2.78,25.25198332,87.75077264
20100201,0.0,42.13,25.85,9.85,16.0,2.36,3.56,25.25198332,87.75077264
20100202,0.0,44.49,26.55,9.76,16.79,3.33,4.19,25.25198332,87.75077264
20100203,0.0,41.58,25.94,8.97,16.98,2.22,3.46,25.25198332,87.75077264
20100204,0.0,40.16,25.63,8.75,16.89,2.02,3.61,25.25198332,87.75077264
20100205,0.0,40.68,24.99,7.41,17.58,2.23,3.14,25.25198332,87.75077264
20100206,0.0,42.49,25.26,10.19,15.06,1.7,3.01,25.25198332,87.75077264
20100207,0.0,48.53,25.4,9.7,15.7,1.54,2.62,25.25198332,87.75077264
20100208,0.0,40.59,27.11,13.16,13.95,1.75,2.27,25.25198332,87.75077264
20100209,0.0,48.64,26.9,12.35,14.55,2.77,5.63,25.25198332,87.75077264
20100210,0.03,48.49,29.14,15.56,13.58,4.27,7.43,25.25198332,87.75077264
20100211,0.08,51.53,30.0,13.87,16.14,2.27,4.64,25.25198332,87.75077264
20100212,0.02,43.88,30.1,14.24,15.86,3.61,7.11,25.25198332,87.75077264
20100213,0.78,56.0,28.59,13.35,15.25,3.93,4.32,25.25198332,87.75077264
20100214,0.09,49.38,29.19,12.99,16.2,2.76,2.63,25.25198332,87.75077264
20100215,0.0,42.21,29.27,12.33,16.93,3.4,4.92,25.25198332,87.75077264
20100216,1.3,56.61,28.32,16.56,11.76,4.24,5.93,25.25198332,87.75077264
20100217,0.74,53.02,30.66,15.86,14.81,2.96,6.04,25.25198332,87.75077264
20100218,0.0,36.28,28.86,14.12,14.74,3.96,2.26,25.25198332,87.75077264
20100219,0.0,32.15,28.65,9.81,18.83,2.65,5.88,25.25198332,87.75077264
20100220,0.0,36.35,28.39,10.89,17.5,1.98,3.46,25.25198332,87.75077264
20100221,0.0,34.34,28.16,10.56,17.59,2.57,4.56,25.25198332,87.75077264
20100222,0.0,34.03,28.49,14.43,14.06,2.11,3.46,25.25198332,87.75077264
20100223,0.12,33.65,30.3,16.14,14.16,2.74,3.46,25.25198332,87.75077264
20100224,0.42,38.36,31.37,15.64,15.72,3.14,3.17,25.25198332,87.75077264
20100225,0.01,39.04,31.75,15.56,16.2,3.45,5.34,25.25198332,87.75077264
20100226,0.0,38.72,31.08,14.88,16.2,1.95,5.09,25.25198332,87.75077264
20100227,0.0,35.59,30.06,14.39,15.67,2.53,3.21,25.25198332,87.75077264
20100228,0.0,40.11,31.79,16.42,15.37,3.02,6.23,25.25198332,87.75077264
20100301,0.0,49.78,31.06,15.53,15.53,3.07,6.42,25.25198332,87.75077264
20100302,0.06,35.62,33.88,17.49,16.39,6.44,7.97,25.25198332,87.75077264
20100303,0.0,31.22,34.69,16.11,18.58,3.88,4.25,25.25198332,87.75077264
20100304,0.01,31.73,35.08,16.12,18.96,3.88,4.33,25.25198332,87.75077264
20100305,0.0,32.55,36.3,18.32,17.98,4.46,4.48,25.25198332,87.75077264
20100306,0.0,30.6,35.44,17.9,17.54,4.04,4.7,25.25198332,87.75077264
20100307,0.0,28.48,35.12,17.19,17.93,4.88,4.16,25.25198332,87.75077264
20100308,0.0,30.6,34.89,18.3,16.59,4.0,4.01,25.25198332,87.75077264
20100309,0.0,26.27,34.34,16.03,18.31,3.76,4.73,25.25198332,87.75077264
20100310,0.0,23.28,33.68,15.32,18.37,3.11,3.96,25.25198332,87.75077264
20100311,0.0,23.06,33.45,15.68,17.77,3.75,4.46,25.25198332,87.75077264
20100312,0.0,23.24,33.52,16.7,16.82,3.84,4.0,25.25198332,87.75077264
20100313,0.0,22.48,34.8,15.11,19.69,3.43,4.28,25.25198332,87.75077264
20100314,0.01,22.88,35.19,16.88,18.31,3.76,4.25,25.25198332,87.75077264
20100315,0.03,24.82,36.27,17.86,18.41,3.48,6.45,25.25198332,87.75077264
20100316,0.65,39.18,34.98,17.58,17.4,4.59,5.7,25.25198332,87.75077264
20100317,0.35,36.81,36.24,18.23,18.01,2.06,5.31,25.25198332,87.75077264
20100318,0.47,33.21,37.4,19.7,17.71,2.32,4.74,25.25198332,87.75077264
