Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,51.76,31.35,15.66,15.68,2.01,3.98,17.75198332,81.25077264
20100102,0.0,56.08,30.81,16.43,14.38,2.25,4.2,17.75198332,81.25077264
20100103,0.0,39.36,31.11,13.91,17.2,2.22,4.68,17.75198332,81.25077264
20100104,0.0,42.23,31.71,14.61,17.1,2.49,4.42,17.75198332,81.25077264
20100105,0.0,47.21,31.84,15.58,16.27,2.12,3.93,17.75198332,81.25077264
20100106,0.0,49.01,31.07,15.38,15.69,1.49,4.25,17.75198332,81.25077264
20100107,0.0,50.16,30.86,13.9,16.96,2.33,4.59,17.75198332,81.25077264
20100108,0.06,46.81,31.98,14.92,17.06,2.13,4.06,17.75198332,81.25077264
20100109,0.17,55.82,32.02,19.06,12.96,1.89,4.26,17.75198332,81.25077264
20100110,0.0,61.41,33.34,19.02,14.32,2.25,3.97,17.75198332,81.25077264
20100111,0.8,63.98,33.59,21.11,12.48,2.45,3.84,17.75198332,81.25077264
20100112,0.53,66.72,33.05,21.05,12.0,2.75,3.66,17.75198332,81.25077264
20100113,5.62,70.81,32.98,21.43,11.55,3.08,3.41,17.75198332,81.25077264
20100114,0.4,77.02,28.6,22.29,6.31,1.39,2.12,17.75198332,81.25077264
20100115,0.01,73.87,29.1,21.74,7.36,2.15,2.35,17.75198332,81.25077264
20100116,0.04,65.38,29.88,20.77,9.11,1.86,3.9,17.75198332,81.25077264
20100117,0.0,55.94,32.43,19.29,13.14,2.12,2.65,17.75198332,81.25077264
20100118,0.0,53.72,31.41,18.09,13.32,1.75,1.76,17.75198332,81.25077264
20100119,0.0,37.95,32.08,15.64,16.43,3.15,5.66,17.75198332,81.25077264
20100120,0.0,38.09,32.08,14.31,17.78,1.44,4.53,17.75198332,81.25077264
20100121,0.0,36.23,31.78,13.18,18.61,1.05,3.22,17.75198332,81.25077264
20100122,0.0,41.03,31.72,13.87,17.85,2.18,3.87,17.75198332,81.25077264
20100123,0.0,41.49,32.18,13.83,18.35,2.19,4.63,17.75198332,81.25077264
20100124,0.0,47.17,31.57,14.73,16.84,3.09,6.07,17.75198332,81.25077264
20100125,0.0,46.61,32.46,15.33,17.13,2.5,5.31,17.75198332,81.25077264
20100126,0.0,47.08,32.13,15.91,16.22,2.18,4.69,17.75198332,81.25077264
20100127,0.0,48.61,31.68,17.27,14.42,2.13,4.54,17.75198332,81.25077264
20100128,0.0,49.26,30.97,18.11,12.85,2.71,4.45,17.75198332,81.25077264
20100129,0.0,45.11,32.43,17.99,14.44,2.43,3.96,17.75198332,81.25077264
