Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,20.3,-5.54,-18.42,12.88,3.68,3.72,32.23341309,78.21414618
20100102,0.0,25.22,-5.0,-17.85,12.85,5.73,5.79,32.23341309,78.21414618
20100103,4.98,60.29,-8.1,-19.09,11.0,6.81,7.03,32.23341309,78.21414618
20100104,0.11,48.69,-6.08,-18.33,12.24,2.79,2.92,32.23341309,78.21414618
20100105,0.0,29.51,-5.99,-18.21,12.22,6.96,7.32,32.23341309,78.21414618
20100106,0.0,29.2,-4.88,-20.21,15.32,3.42,3.54,32.23341309,78.21414618
20100107,0.0,28.87,-6.08,-18.23,12.15,6.24,6.58,32.23341309,78.21414618
20100108,0.0,35.84,-9.24,-20.85,11.61,5.75,6.01,32.23341309,78.21414618
20100109,0.0,43.6,-9.57,-22.06,12.48,7.07,7.4,32.23341309,78.21414618
20100110,0.0,38.01,-9.89,-21.07,11.18,5.32,5.36,32.23341309,78.21414618
20100111,0.0,35.99,-8.97,-21.31,12.34,4.91,5.07,32.23341309,78.21414618
20100112,0.0,34.73,-9.57,-21.54,11.98,4.08,4.13,32.23341309,78.21414618
20100113,2.78,68.13,-13.45,-20.39,6.93,2.91,2.87,32.23341309,78.21414618
20100114,0.0,50.5,-6.37,-23.44,17.06,3.04,2.95,32.23341309,78.21414618
20100115,0.0,47.14,-7.26,-18.81,11.56,6.52,7.03,32.23341309,78.21414618
20100116,0.0,38.88,-4.7,-19.49,14.78,3.46,3.38,32.23341309,78.21414618
20100117,0.0,56.69,-8.99,-18.43,9.44,6.07,6.19,32.23341309,78.21414618
20100118,0.0,58.23,-10.62,-21.64,11.02,6.31,6.27,32.23341309,78.21414618
20100119,0.0,59.94,-10.1,-22.46,12.35,5.9,6.09,32.23341309,78.21414618
20100120,0.0,68.25,-8.73,-22.79,14.06,4.56,4.05,32.23341309,78.21414618
20100121,0.0,62.96,-8.25,-23.27,15.02,3.97,3.93,32.23341309,78.21414618
20100122,0.0,70.32,-9.7,-20.49,10.79,4.16,4.15,32.23341309,78.21414618
20100123,0.0,59.89,-8.77,-20.14,11.37,5.48,5.57,32.23341309,78.21414618
20100124,0.0,65.2,-9.68,-18.7,9.02,4.4,4.53,32.23341309,78.21414618
20100125,0.0,69.09,-10.55,-19.52,8.97,4.54,4.42,32.23341309,78.21414618
20100126,0.0,50.44,-7.55,-24.24,16.69,3.58,3.57,32.23341309,78.21414618
20100127,0.0,60.7,-8.92,-19.31,10.4,5.98,5.94,32.23341309,78.21414618
20100128,0.0,58.87,-8.35,-19.81,11.46,5.28,5.43,32.23341309,78.21414618
20100129,0.12,70.23,-12.16,-19.93,7.77,7.04,7.38,32.23341309,78.21414618
20100130,0.0,47.02,-8.62,-21.81,13.2,5.51,5.58,32.23341309,78.21414618
20100131,0.0,47.12,-10.42,-20.96,10.54,5.94,6.02,32.23341309,78.21414618
20100201,0.0,60.46,-12.86,-20.06,7.2,4.38,3.81,32.23341309,78.21414618
20100202,0.0,54.89,-12.46,-22.94,10.49,6.38,6.34,32.23341309,78.21414618
20100203,0.0,49.39,-11.05,-23.96,12.91,5.79,5.89,32.23341309,78.21414618
20100204,0.0,52.42,-10.12,-22.85,12.73,5.9,5.94,32.23341309,78.21414618
20100205,0.06,63.91,-7.21,-21.08,13.88,5.39,5.36,32.23341309,78.21414618
20100206,0.08,79.76,-6.69,-19.04,12.35,5.08,4.82,32.23341309,78.21414618
20100207,0.17,83.54,-7.21,-15.34,8.12,7.93,8.15,32.23341309,78.21414618
20100208,4.55,84.45,-8.02,-13.26,5.24,9.11,9.04,32.23341309,78.21414618
20100209,6.35,73.16,-12.38,-19.63,7.25,8.19,7.92,32.23341309,78.21414618
20100210,0.04,62.07,-12.45,-24.86,12.42,5.13,5.23,32.23341309,78.21414618
20100211,0.0,64.46,-10.52,-20.91,10.39,6.59,6.33,32.23341309,78.21414618
20100212,0.0,72.43,-13.4,-19.96,6.56,6.88,6.88,32.23341309,78.21414618
20100213,0.0,59.81,-11.95,-22.21,10.26,6.46,6.44,32.23341309,78.21414618
20100214,0.0,68.96,-12.93,-24.44,11.5,8.74,8.95,32.23341309,78.21414618
