,PRECTOT,RH2M,T2M,WS2M
20100101,0.0,55.16,12.58,1.51
20100102,0.0,57.32,12.74,0.94
20100103,0.02,59.3,13.14,1.5
20100104,0.06,63.76,13.56,3.11
20100105,0.0,58.4,12.43,2.04
20100106,0.0,55.9,12.57,1.01
20100107,0.0,58.9,13.43,0.44
20100108,0.0,63.6,13.13,0.73
20100109,0.0,56.06,13.35,1.26
20100110,0.14,49.0,14.02,1.24
20100111,0.0,44.47,13.5,1.56
20100112,1.93,42.83,14.94,1.29
20100113,2.18,75.47,11.68,1.68
20100114,0.1,76.31,12.58,1.46
20100115,0.0,55.2,14.37,1.13
20100116,0.0,40.47,14.53,1.21
20100117,0.0,37.4,14.33,0.82
20100118,0.0,41.11,14.34,0.94
20100119,0.0,38.03,14.55,1.31
20100120,0.0,40.25,14.24,1.29
20100121,0.0,39.93,14.74,1.23
20100122,0.0,41.31,15.08,1.1
20100123,0.0,41.2,15.23,1.07
20100124,0.0,46.99,14.61,1.24
20100125,0.0,46.8,14.75,1.16
20100126,0.0,42.75,16.7,1.25
20100127,0.0,44.12,17.18,1.16
20100128,0.0,45.93,17.63,1.11
20100129,0.0,46.37,17.67,1.3
20100130,0.0,46.56,17.69,2.04
20100131,0.0,40.24,16.64,1.22
20100201,0.0,41.44,16.38,1.09
20100202,0.0,40.48,15.87,1.55
20100203,0.0,37.76,15.87,1.64
20100204,0.0,39.5,15.39,1.85
20100205,0.0,42.67,16.2,2.06
20100206,0.0,39.26,18.25,1.71
20100207,0.0,38.84,19.34,1.27
20100208,0.38,40.99,20.35,1.15
20100209,4.83,67.92,19.08,1.96
20100210,1.65,64.14,18.89,1.72
20100211,2.0,52.95,19.74,0.93
20100212,8.05,82.04,16.05,1.55
20100213,0.0,64.54,17.39,1.15
20100214,0.0,50.36,17.96,1.35
20100215,0.0,42.88,18.32,1.32
20100216,0.01,44.49,19.38,1.19
20100217,0.0,45.15,18.83,2.04
20100218,0.0,31.82,15.79,2.33
20100219,0.0,33.53,17.23,1.65
20100220,0.0,32.26,17.91,1.72
20100221,0.0,30.85,19.62,1.8
20100222,0.11,33.0,21.33,1.1
20100223,0.89,51.75,21.19,0.97
