Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,42.18,27.12,10.32,16.8,2.96,4.58,21.25198332,80.25077264
20100102,0.0,36.41,27.07,8.51,18.56,3.29,5.87,21.25198332,80.25077264
20100103,0.0,38.53,29.07,9.19,19.88,2.53,4.18,21.25198332,80.25077264
20100104,0.0,43.15,29.05,11.71,17.33,1.35,3.73,21.25198332,80.25077264
20100105,0.0,46.1,28.04,11.72,16.32,1.58,5.07,21.25198332,80.25077264
20100106,0.0,35.21,27.67,9.12,18.55,2.44,5.27,21.25198332,80.25077264
20100107,0.0,37.62,27.22,8.56,18.66,3.18,5.67,21.25198332,80.25077264
20100108,0.0,36.14,28.26,9.14,19.12,3.38,5.39,21.25198332,80.25077264
20100109,0.0,36.62,29.72,10.52,19.2,3.92,6.46,21.25198332,80.25077264
20100110,0.0,40.4,30.75,14.23,16.52,3.95,6.07,21.25198332,80.25077264
20100111,0.01,43.56,31.08,13.67,17.42,3.34,6.18,21.25198332,80.25077264
20100112,2.28,62.67,23.95,16.37,7.58,2.7,3.25,21.25198332,80.25077264
20100113,8.59,81.4,25.15,15.93,9.21,3.9,5.8,21.25198332,80.25077264
20100114,0.43,63.59,27.81,13.57,14.24,1.96,5.32,21.25198332,80.25077264
20100115,0.0,46.74,27.98,10.03,17.95,3.27,6.61,21.25198332,80.25077264
20100116,0.0,40.65,28.09,9.56,18.54,3.31,5.65,21.25198332,80.25077264
20100117,0.0,41.5,27.81,10.21,17.6,3.46,6.02,21.25198332,80.25077264
20100118,0.0,36.9,28.5,9.54,18.96,3.35,5.88,21.25198332,80.25077264
20100119,0.0,29.23,29.19,8.5,20.7,1.39,5.31,21.25198332,80.25077264
20100120,0.0,28.45,28.49,8.72,19.77,3.4,5.79,21.25198332,80.25077264
20100121,0.0,26.82,28.91,8.01,20.9,2.6,4.76,21.25198332,80.25077264
20100122,0.0,26.79,28.75,8.5,20.25,2.95,4.66,21.25198332,80.25077264
20100123,0.0,27.4,29.37,8.88,20.48,2.53,4.65,21.25198332,80.25077264
20100124,0.0,28.11,28.87,9.42,19.45,2.97,4.6,21.25198332,80.25077264
20100125,0.0,28.1,29.64,10.07,19.57,3.05,5.26,21.25198332,80.25077264
20100126,0.0,28.43,29.46,9.96,19.49,3.69,5.67,21.25198332,80.25077264
20100127,0.0,29.25,29.2,10.24,18.96,2.3,4.02,21.25198332,80.25077264
20100128,0.0,26.06,29.21,10.74,18.47,3.31,4.65,21.25198332,80.25077264
20100129,0.0,27.45,29.64,10.51,19.12,2.74,4.1,21.25198332,80.25077264
20100130,0.0,27.1,30.51,11.7,18.81,2.74,3.54,21.25198332,80.25077264
20100131,0.0,30.51,30.13,12.2,17.92,2.95,4.53,21.25198332,80.25077264
20100201,0.0,33.2,30.65,12.88,17.77,3.32,4.9,21.25198332,80.25077264
20100202,0.08,36.01,30.97,13.8,17.17,2.35,4.13,21.25198332,80.25077264
20100203,0.0,41.37,29.86,18.01,11.85,2.95,5.58,21.25198332,80.25077264
20100204,0.86,55.22,26.58,17.32,9.26,1.88,2.46,21.25198332,80.25077264
20100205,0.0,44.65,30.17,15.29,14.88,2.63,5.77,21.25198332,80.25077264
20100206,0.0,27.65,31.27,14.61,16.65,3.29,5.85,21.25198332,80.25077264
20100207,0.0,24.41,32.69,12.78,19.92,2.39,4.46,21.25198332,80.25077264
20100208,0.0,25.26,33.27,13.64,19.62,2.49,3.62,21.25198332,80.25077264
20100209,0.0,32.18,32.72,15.09,17.63,5.01,6.6,21.25198332,80.25077264
20100210,0.01,34.81,31.82,19.4,12.42,1.96,4.18,21.25198332,80.25077264
20100211,0.02,36.45,32.59,17.88,14.71,4.02,6.17,21.25198332,80.25077264
20100212,0.0,34.86,34.0,17.41,16.6,3.77,3.68,21.25198332,80.25077264
20100213,0.0,33.47,35.18,21.0,14.19,4.01,4.65,21.25198332,80.25077264
20100214,0.02,37.09,34.01,22.11,11.9,2.72,4.43,21.25198332,80.25077264
20100215,1.39,38.04,35.78,22.03,13.75,4.86,6.37,21.25198332,80.25077264
20100216,0.79,41.78,34.22,22.28,11.95,4.86,5.81,21.25198332,80.25077264
20100217,0.93,36.37,34.35,19.88,14.48,3.43,6.44,21.25198332,80.25077264
20100218,0.0,25.21,34.19,15.74,18.45,3.35,6.95,21.25198332,80.25077264
20100219,0.0,19.73,34.14,17.24,16.9,3.19,6.2,21.25198332,80.25077264
20100220,0.01,20.25,34.4,15.87,18.53,3.59,5.78,21.25198332,80.25077264
20100221,0.01,20.37,34.57,16.07,18.5,3.25,7.03,21.25198332,80.25077264
20100222,0.13,20.78,35.02,17.11,17.91,2.65,6.14,21.25198332,80.25077264
20100223,0.89,28.85,36.15,19.07,17.08,3.5,3.54,21.25198332,80.25077264
20100224,0.31,24.23,35.02,18.25,16.77,4.76,5.76,21.25198332,80.25077264
20100225,0.0,23.99,34.94,15.88,19.06,3.0,5.62,21.25198332,80.25077264
20100226,0.0,20.81,36.12,17.07,19.05,3.6,6.71,21.25198332,80.25077264
20100227,0.0,18.84,36.15,16.52,19.64,2.18,4.9,21.25198332,80.25077264
20100228,0.0,16.13,37.46,17.01,20.45,2.28,4.97,21.25198332,80.25077264
20100301,0.0,14.47,37.56,18.06,19.5,2.66,4.05,21.25198332,80.25077264
20100302,0.0,17.59,38.3,19.25,19.05,2.67,3.29,21.25198332,80.25077264
20100303,0.0,21.57,38.51,20.88,17.63,3.68,4.32,21.25198332,80.25077264
