Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,68.62,31.39,19.72,11.67,3.8,4.11,11.25198332,77.75077264
20100102,0.0,66.41,30.91,18.25,12.66,2.57,3.73,11.25198332,77.75077264
20100103,0.0,70.5,29.58,17.85,11.73,2.25,2.99,11.25198332,77.75077264
20100104,0.0,63.37,31.47,16.97,14.49,2.07,4.74,11.25198332,77.75077264
20100105,0.0,61.35,31.86,15.97,15.88,2.87,6.39,11.25198332,77.75077264
20100106,0.0,66.87,30.92,16.44,14.48,2.83,5.55,11.25198332,77.75077264
20100107,0.03,67.29,31.27,17.93,13.34,2.5,4.82,11.25198332,77.75077264
20100108,0.43,72.04,30.66,17.91,12.75,1.49,1.26,11.25198332,77.75077264
20100109,0.86,74.45,31.58,20.97,10.6,2.83,1.94,11.25198332,77.75077264
20100110,2.45,74.25,31.49,21.34,10.16,2.98,3.19,11.25198332,77.75077264
20100111,0.27,69.78,32.83,20.93,11.9,2.84,3.73,11.25198332,77.75077264
20100112,0.18,69.14,33.16,21.48,11.68,1.53,3.49,11.25198332,77.75077264
20100113,0.12,71.08,32.56,22.15,10.41,2.12,2.67,11.25198332,77.75077264
20100114,0.01,66.81,33.2,21.66,11.54,2.36,3.17,11.25198332,77.75077264
20100115,0.0,64.81,32.81,19.82,13.0,4.46,4.36,11.25198332,77.75077264
20100116,0.0,66.87,31.95,17.7,14.25,3.02,2.65,11.25198332,77.75077264
20100117,0.0,63.3,32.39,18.5,13.89,3.3,3.2,11.25198332,77.75077264
20100118,0.0,65.54,32.49,18.07,14.41,2.56,4.66,11.25198332,77.75077264
20100119,0.0,64.65,32.77,19.95,12.83,3.22,4.65,11.25198332,77.75077264
20100120,0.02,62.07,32.56,19.72,12.84,3.36,4.39,11.25198332,77.75077264
20100121,0.01,56.68,32.1,18.3,13.8,2.72,4.6,11.25198332,77.75077264
20100122,0.0,53.87,32.27,15.86,16.41,3.49,6.53,11.25198332,77.75077264
20100123,0.0,55.44,31.74,15.39,16.35,3.03,5.91,11.25198332,77.75077264
20100124,0.0,57.74,31.63,15.59,16.05,3.0,5.51,11.25198332,77.75077264
20100125,0.0,61.66,32.22,16.88,15.35,2.53,4.42,11.25198332,77.75077264
20100126,0.0,61.16,32.57,18.67,13.9,3.07,4.27,11.25198332,77.75077264
20100127,0.0,60.27,33.23,19.47,13.77,3.47,4.84,11.25198332,77.75077264
20100128,0.0,62.09,32.32,20.41,11.91,3.28,3.26,11.25198332,77.75077264
20100129,0.0,57.71,33.34,19.26,14.08,3.97,5.5,11.25198332,77.75077264
20100130,0.0,54.28,33.84,18.38,15.46,3.58,5.18,11.25198332,77.75077264
20100131,0.0,58.26,33.15,17.89,15.26,2.93,4.3,11.25198332,77.75077264
20100201,0.0,59.26,31.47,18.89,12.57,2.7,5.31,11.25198332,77.75077264
20100202,0.0,51.89,33.55,17.08,16.47,3.77,5.8,11.25198332,77.75077264
20100203,0.0,48.85,34.4,16.44,17.96,3.94,6.68,11.25198332,77.75077264
20100204,0.0,50.75,33.18,17.47,15.71,3.87,5.77,11.25198332,77.75077264
20100205,0.0,52.0,33.24,17.39,15.85,4.1,6.16,11.25198332,77.75077264
20100206,0.0,51.94,33.35,16.0,17.35,4.35,5.58,11.25198332,77.75077264
20100207,0.0,56.47,33.0,17.04,15.96,2.72,3.8,11.25198332,77.75077264
20100208,0.0,49.11,34.66,17.43,17.24,4.02,6.21,11.25198332,77.75077264
20100209,0.0,48.58,35.04,16.92,18.12,4.33,7.0,11.25198332,77.75077264
20100210,0.0,51.19,34.73,18.86,15.87,3.6,5.53,11.25198332,77.75077264
20100211,0.0,49.02,35.24,19.97,15.26,3.16,5.22,11.25198332,77.75077264
20100212,0.0,51.78,35.85,21.1,14.75,3.7,5.23,11.25198332,77.75077264
20100213,0.01,50.94,36.82,21.18,15.64,4.4,6.71,11.25198332,77.75077264
20100214,0.0,46.78,37.23,20.86,16.37,4.12,7.09,11.25198332,77.75077264
20100215,0.0,53.1,35.48,20.55,14.93,4.64,5.24,11.25198332,77.75077264
20100216,0.0,48.58,36.19,19.84,16.34,3.39,5.98,11.25198332,77.75077264
20100217,0.0,51.81,36.57,19.32,17.25,3.6,5.42,11.25198332,77.75077264
