Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,49.24,25.89,8.62,17.27,2.71,5.55,22.25198332,75.75077264
20100102,0.0,52.3,28.04,8.91,19.13,4.09,8.29,22.25198332,75.75077264
20100103,0.21,58.12,28.91,11.98,16.93,2.59,5.3,22.25198332,75.75077264
20100104,0.0,65.44,27.34,14.73,12.62,2.19,6.13,22.25198332,75.75077264
20100105,0.0,51.74,26.74,10.3,16.44,2.63,5.82,22.25198332,75.75077264
20100106,0.0,46.72,25.78,8.03,17.75,1.92,5.41,22.25198332,75.75077264
20100107,0.0,50.41,27.11,7.89,19.23,3.37,7.1,22.25198332,75.75077264
20100108,0.0,48.4,27.39,9.1,18.29,3.44,7.72,22.25198332,75.75077264
20100109,0.0,47.86,28.1,10.58,17.52,3.05,6.19,22.25198332,75.75077264
20100110,0.0,51.89,28.73,12.27,16.46,2.95,5.76,22.25198332,75.75077264
20100111,0.31,60.19,29.54,13.74,15.8,2.92,5.32,22.25198332,75.75077264
20100112,3.37,75.32,26.36,16.86,9.51,4.74,5.66,22.25198332,75.75077264
20100113,0.0,51.33,26.04,12.03,14.01,3.91,3.96,22.25198332,75.75077264
20100114,0.0,53.29,25.37,8.68,16.69,2.84,4.99,22.25198332,75.75077264
20100115,0.0,50.23,26.52,8.33,18.19,3.37,7.08,22.25198332,75.75077264
20100116,0.0,48.36,27.34,8.9,18.43,4.11,7.52,22.25198332,75.75077264
20100117,0.0,45.61,27.33,10.23,17.1,2.67,6.66,22.25198332,75.75077264
20100118,0.0,40.64,27.73,8.08,19.65,3.49,7.18,22.25198332,75.75077264
20100119,0.0,36.82,28.57,7.87,20.7,2.47,5.76,22.25198332,75.75077264
20100120,0.0,35.02,29.0,8.45,20.55,2.96,6.07,22.25198332,75.75077264
20100121,0.0,34.43,28.5,9.5,19.0,1.72,3.81,22.25198332,75.75077264
20100122,0.0,32.52,29.13,10.52,18.61,1.92,3.47,22.25198332,75.75077264
20100123,0.0,33.19,29.34,9.49,19.84,2.17,4.51,22.25198332,75.75077264
20100124,0.0,33.89,29.53,10.56,18.96,2.57,4.01,22.25198332,75.75077264
20100125,0.0,36.16,29.16,10.64,18.52,2.47,4.77,22.25198332,75.75077264
20100126,0.0,38.67,28.96,10.57,18.39,2.14,4.72,22.25198332,75.75077264
20100127,0.0,38.04,29.05,11.06,17.99,2.93,4.96,22.25198332,75.75077264
20100128,0.0,37.51,29.37,12.07,17.3,2.99,5.78,22.25198332,75.75077264
20100129,0.0,37.47,29.3,11.69,17.61,2.99,6.38,22.25198332,75.75077264
20100130,0.0,36.92,30.08,13.7,16.38,1.49,2.58,22.25198332,75.75077264
20100131,0.0,35.3,30.39,15.26,15.14,2.35,5.07,22.25198332,75.75077264
20100201,0.0,31.11,30.01,13.37,16.64,1.87,3.35,22.25198332,75.75077264
20100202,0.0,34.97,30.33,13.07,17.26,2.37,4.22,22.25198332,75.75077264
20100203,0.98,44.3,30.41,14.24,16.16,3.23,6.67,22.25198332,75.75077264
20100204,0.69,49.31,30.43,17.29,13.14,3.92,6.48,22.25198332,75.75077264
20100205,0.0,51.74,29.91,18.14,11.77,3.59,6.0,22.25198332,75.75077264
20100206,0.0,44.06,31.98,16.09,15.9,3.43,5.39,22.25198332,75.75077264
20100207,0.0,35.43,32.65,15.25,17.4,2.66,5.79,22.25198332,75.75077264
20100208,0.0,34.11,33.77,17.68,16.09,4.0,4.73,22.25198332,75.75077264
20100209,0.0,43.57,31.51,18.24,13.26,3.63,4.44,22.25198332,75.75077264
20100210,0.12,36.27,31.18,15.73,15.45,3.49,6.31,22.25198332,75.75077264
20100211,0.64,49.04,30.08,18.66,11.43,4.64,4.91,22.25198332,75.75077264
20100212,0.02,37.24,32.65,17.38,15.27,4.29,5.46,22.25198332,75.75077264
20100213,0.0,32.13,32.69,14.06,18.63,2.81,6.78,22.25198332,75.75077264
20100214,0.0,29.42,32.73,14.02,18.71,3.8,5.89,22.25198332,75.75077264
20100215,0.0,17.6,32.71,13.38,19.33,4.55,7.2,22.25198332,75.75077264
20100216,0.01,15.11,32.44,15.98,16.46,4.82,8.99,22.25198332,75.75077264
20100217,0.0,18.98,31.79,12.36,19.43,3.95,8.5,22.25198332,75.75077264
20100218,0.0,13.76,32.72,11.19,21.53,4.35,8.29,22.25198332,75.75077264
20100219,0.0,17.14,34.47,13.65,20.82,4.1,6.97,22.25198332,75.75077264
20100220,0.0,24.44,35.62,14.74,20.88,4.91,7.79,22.25198332,75.75077264
20100221,0.0,20.8,34.77,15.7,19.08,3.47,6.38,22.25198332,75.75077264
20100222,0.18,28.54,32.05,20.23,11.83,3.14,3.49,22.25198332,75.75077264
20100223,0.0,28.77,34.3,17.58,16.72,6.31,7.84,22.25198332,75.75077264
20100224,0.0,24.51,32.7,15.25,17.45,2.55,5.45,22.25198332,75.75077264
20100225,0.0,21.51,33.91,14.66,19.26,2.81,6.05,22.25198332,75.75077264
20100226,0.0,19.23,35.52,15.49,20.03,3.75,7.11,22.25198332,75.75077264
20100227,0.0,16.96,36.59,15.87,20.71,2.84,5.59,22.25198332,75.75077264
20100228,0.0,14.66,37.48,16.58,20.9,3.14,6.41,22.25198332,75.75077264
