,PRECTOT,RH2M,T2M,WS2M
20100101,0.0,43.36,19.6,2.04
20100102,0.0,48.44,19.29,1.7
20100103,0.0,36.35,20.5,1.54
20100104,0.0,42.27,21.67,2.18
20100105,0.0,47.82,21.26,1.72
20100106,0.0,43.42,19.97,1.71
20100107,0.0,40.76,19.48,1.55
20100108,0.0,49.04,21.39,1.02
20100109,0.0,53.26,22.37,1.12
20100110,0.0,62.56,23.95,1.56
20100111,0.08,64.48,25.08,2.16
20100112,3.35,67.24,25.31,2.15
20100113,4.28,83.93,22.71,1.13
20100114,0.7,66.79,22.58,1.67
20100115,0.04,60.75,22.11,1.8
20100116,0.0,49.38,20.92,1.62
20100117,0.0,41.46,21.04,1.47
20100118,0.0,37.14,20.88,1.53
20100119,0.0,28.65,20.32,2.02
20100120,0.0,24.28,19.3,1.78
20100121,0.0,22.91,18.96,1.99
20100122,0.0,26.21,19.6,1.55
20100123,0.0,24.92,20.11,1.56
20100124,0.0,37.75,20.89,1.25
20100125,0.0,45.98,21.28,1.97
20100126,0.0,30.61,21.04,1.59
20100127,0.0,34.12,21.52,1.31
20100128,0.0,36.63,22.36,1.14
20100129,0.0,36.82,22.34,1.6
20100130,0.0,27.2,21.94,1.96
20100131,0.0,24.69,22.31,1.57
20100201,0.0,33.85,23.15,1.99
20100202,0.0,44.55,24.32,2.79
20100203,0.0,42.05,25.18,2.96
20100204,0.0,37.77,24.85,3.09
20100205,0.0,38.55,24.45,2.06
20100206,0.0,38.82,24.02,2.05
20100207,0.0,32.02,23.84,1.81
20100208,0.0,28.71,25.12,1.61
20100209,0.0,33.86,25.25,2.61
20100210,0.0,36.52,25.25,2.56
20100211,0.0,36.3,25.38,2.87
20100212,0.0,36.01,26.97,2.64
20100213,0.0,33.78,27.64,3.1
20100214,0.81,33.34,28.72,2.7
20100215,2.48,35.17,28.36,2.58
20100216,0.78,38.44,27.32,2.95
20100217,0.18,37.46,28.45,1.39
20100218,0.04,34.16,29.52,1.05
