Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,80.8,27.76,18.29,9.47,4.53,4.94,13.75198332,79.25077264
20100102,0.0,81.52,27.31,17.64,9.67,2.51,3.59,13.75198332,79.25077264
20100103,0.0,79.77,27.09,17.53,9.56,2.86,3.72,13.75198332,79.25077264
20100104,0.0,75.99,27.28,15.72,11.57,3.14,3.88,13.75198332,79.25077264
20100105,0.0,75.67,28.12,15.56,12.56,3.4,4.55,13.75198332,79.25077264
20100106,0.0,79.54,27.35,16.89,10.46,4.8,5.65,13.75198332,79.25077264
20100107,0.0,80.67,27.17,17.34,9.82,3.21,3.35,13.75198332,79.25077264
20100108,0.66,85.11,27.17,17.52,9.65,2.98,2.41,13.75198332,79.25077264
20100109,0.82,86.34,28.74,20.5,8.24,2.81,1.49,13.75198332,79.25077264
20100110,9.83,83.84,29.25,20.95,8.3,2.31,2.67,13.75198332,79.25077264
20100111,0.72,83.1,29.34,20.87,8.48,3.78,3.58,13.75198332,79.25077264
20100112,0.04,78.79,30.63,20.38,10.24,2.83,3.75,13.75198332,79.25077264
20100113,6.2,82.37,29.99,20.67,9.32,2.06,2.57,13.75198332,79.25077264
20100114,0.37,81.43,29.39,20.76,8.64,2.44,2.92,13.75198332,79.25077264
20100115,0.0,80.96,26.97,18.65,8.33,3.71,3.19,13.75198332,79.25077264
20100116,0.0,80.42,27.75,18.26,9.48,3.14,2.47,13.75198332,79.25077264
20100117,0.64,80.74,28.99,18.78,10.21,3.17,2.82,13.75198332,79.25077264
20100118,0.11,80.27,28.56,19.1,9.46,2.12,3.22,13.75198332,79.25077264
20100119,0.0,78.03,28.66,18.73,9.92,3.46,4.39,13.75198332,79.25077264
20100120,0.0,73.31,28.57,16.99,11.58,3.84,6.17,13.75198332,79.25077264
20100121,0.0,70.11,28.08,16.04,12.05,3.83,5.86,13.75198332,79.25077264
20100122,0.0,69.06,27.6,15.46,12.14,3.85,5.18,13.75198332,79.25077264
20100123,0.0,73.77,27.55,15.1,12.45,3.97,5.09,13.75198332,79.25077264
20100124,0.01,72.09,27.49,15.27,12.22,4.04,6.51,13.75198332,79.25077264
20100125,0.0,71.86,28.78,15.92,12.86,2.37,4.88,13.75198332,79.25077264
20100126,0.0,73.6,29.06,17.05,12.01,3.53,6.16,13.75198332,79.25077264
20100127,0.22,76.07,29.05,18.46,10.59,2.71,3.83,13.75198332,79.25077264
20100128,0.0,73.39,29.25,18.43,10.82,4.04,4.16,13.75198332,79.25077264
20100129,0.0,71.52,29.36,17.76,11.61,4.64,5.83,13.75198332,79.25077264
20100130,0.0,66.2,30.03,16.97,13.07,3.66,6.29,13.75198332,79.25077264
20100131,0.0,67.07,30.23,17.14,13.09,3.26,6.05,13.75198332,79.25077264
20100201,0.0,70.55,28.7,17.99,10.7,3.45,5.41,13.75198332,79.25077264
20100202,0.0,68.89,29.71,16.41,13.29,4.07,4.39,13.75198332,79.25077264
20100203,0.0,64.45,30.34,15.9,14.44,4.34,5.74,13.75198332,79.25077264
20100204,0.0,66.53,29.07,15.95,13.11,4.32,4.33,13.75198332,79.25077264
20100205,0.0,67.95,29.68,16.43,13.25,5.45,5.93,13.75198332,79.25077264
20100206,0.0,71.32,29.68,15.54,14.14,5.53,5.75,13.75198332,79.25077264
20100207,0.0,73.76,29.18,17.46,11.72,4.41,4.99,13.75198332,79.25077264
20100208,0.0,61.35,30.85,15.85,15.0,3.93,6.28,13.75198332,79.25077264
20100209,0.0,58.21,32.03,14.1,17.93,3.82,6.87,13.75198332,79.25077264
20100210,0.0,64.19,32.26,17.28,14.98,4.07,6.58,13.75198332,79.25077264
20100211,0.0,65.81,32.21,19.12,13.1,4.51,5.7,13.75198332,79.25077264
20100212,0.0,67.6,31.37,20.0,11.37,4.38,6.04,13.75198332,79.25077264
20100213,0.0,64.2,32.97,19.24,13.73,3.65,4.65,13.75198332,79.25077264
20100214,0.0,61.39,33.02,18.41,14.6,3.27,4.81,13.75198332,79.25077264
20100215,0.0,62.01,33.94,18.03,15.91,3.67,4.08,13.75198332,79.25077264
20100216,0.0,63.32,33.94,18.25,15.69,3.38,3.98,13.75198332,79.25077264
20100217,0.0,61.87,35.0,18.32,16.68,3.88,4.07,13.75198332,79.25077264
20100218,0.0,55.12,34.88,17.1,17.78,2.62,4.27,13.75198332,79.25077264
20100219,0.0,58.95,33.69,18.92,14.76,2.44,3.5,13.75198332,79.25077264
20100220,0.0,54.68,35.96,18.06,17.9,2.8,4.3,13.75198332,79.25077264
20100221,0.0,56.33,36.04,19.0,17.03,2.67,3.93,13.75198332,79.25077264
20100222,0.0,53.59,36.31,19.16,17.14,3.02,4.15,13.75198332,79.25077264
20100223,0.0,53.8,36.9,19.9,17.0,2.71,5.44,13.75198332,79.25077264
20100224,0.0,52.5,37.15,21.17,15.98,3.17,4.89,13.75198332,79.25077264
20100225,0.0,53.78,36.54,21.92,14.62,2.55,4.73,13.75198332,79.25077264
20100226,0.0,52.44,36.0,21.85,14.15,2.19,3.88,13.75198332,79.25077264
20100227,0.0,46.65,37.79,20.12,17.68,4.83,6.93,13.75198332,79.25077264
20100228,0.0,47.68,36.9,19.13,17.77,3.53,6.06,13.75198332,79.25077264
20100301,0.0,45.03,36.65,18.0,18.65,2.4,3.97,13.75198332,79.25077264
20100302,0.0,42.26,36.78,17.48,19.29,2.98,3.42,13.75198332,79.25077264
20100303,0.0,35.09,37.73,17.84,19.89,2.25,4.87,13.75198332,79.25077264
20100304,0.0,37.23,38.12,19.92,18.2,1.89,4.71,13.75198332,79.25077264
20100305,0.0,41.75,38.92,20.33,18.59,2.28,5.18,13.75198332,79.25077264
20100306,0.0,45.14,39.28,20.92,18.36,2.87,4.94,13.75198332,79.25077264
20100307,0.0,49.53,39.61,21.84,17.77,4.91,6.78,13.75198332,79.25077264
20100308,0.0,48.73,38.9,22.25,16.65,3.43,3.65,13.75198332,79.25077264
