,PRECTOT,RH2M,T2M,WS2M
20100101,0.0,27.45,15.7,1.64
20100102,0.0,25.51,15.94,2.31
20100103,2.11,38.12,16.54,3.03
20100104,0.0,48.18,14.08,2.22
20100105,0.0,39.23,15.02,1.69
20100106,0.0,33.07,16.14,1.2
20100107,0.0,31.32,15.07,2.04
20100108,0.0,35.13,13.43,1.54
20100109,0.0,30.91,12.41,1.61
20100110,0.0,28.65,12.72,1.82
20100111,0.0,26.4,14.24,2.0
20100112,0.33,34.89,16.17,2.78
20100113,1.52,48.15,13.53,2.46
20100114,0.0,39.13,13.02,1.69
20100115,0.0,29.09,13.71,1.44
20100116,0.0,22.9,15.16,1.53
20100117,0.0,19.28,16.34,1.66
20100118,0.0,20.76,16.12,2.04
20100119,0.0,20.06,15.97,1.62
20100120,0.0,19.5,16.31,1.69
20100121,0.0,20.96,16.15,1.64
20100122,0.0,16.46,18.07,1.77
20100123,0.0,19.22,17.61,1.74
20100124,0.0,21.76,16.97,2.08
20100125,0.0,27.62,16.95,1.7
20100126,0.0,30.05,17.54,1.91
20100127,0.0,27.87,18.06,2.19
20100128,0.0,22.74,18.17,2.18
20100129,0.0,29.64,18.71,1.61
20100130,0.0,31.66,17.53,1.89
20100131,0.0,22.95,16.99,1.61
20100201,0.0,24.6,16.74,1.59
20100202,0.0,31.03,17.32,1.62
20100203,0.0,24.82,17.22,1.83
20100204,0.0,22.0,18.34,1.79
20100205,0.0,21.02,19.37,1.94
20100206,0.0,26.9,20.93,2.32
20100207,0.0,31.68,21.1,2.19
20100208,1.26,33.01,20.86,3.13
20100209,0.78,35.17,16.95,3.73
20100210,0.0,13.16,13.16,2.19
20100211,0.0,15.03,13.1,1.89
20100212,0.14,18.41,15.01,2.0
20100213,0.01,38.7,16.4,1.53
20100214,0.0,22.57,16.23,1.88
20100215,0.0,19.7,17.01,1.64
20100216,0.0,18.81,17.29,1.84
20100217,0.0,16.29,13.8,2.53
20100218,0.0,15.86,15.28,1.76
20100219,0.0,13.6,18.88,1.4
20100220,0.0,16.47,20.0,1.6
20100221,0.0,17.08,22.02,1.45
