,PRECTOT,RH2M,T2M,WS2M
20100101,0.0,28.44,-13.0,1.14
20100102,0.0,33.56,-13.04,1.53
20100103,2.26,61.7,-12.9,1.81
20100104,0.5,54.98,-11.84,0.78
20100105,0.0,35.65,-12.72,1.51
20100106,0.0,35.66,-12.63,1.49
20100107,0.0,29.09,-13.62,2.04
20100108,0.0,38.49,-15.65,2.01
20100109,0.0,51.31,-16.39,2.3
20100110,0.0,43.42,-15.87,2.07
20100111,0.0,42.61,-16.05,2.0
20100112,0.0,31.74,-14.89,1.14
20100113,0.0,37.64,-14.37,1.06
20100114,0.0,42.25,-13.82,1.42
20100115,0.0,47.56,-13.25,1.82
20100116,0.0,46.6,-11.75,1.53
20100117,0.0,68.13,-12.51,1.75
20100118,0.0,58.07,-14.78,1.95
20100119,0.0,57.23,-15.2,2.08
20100120,0.0,70.01,-13.65,1.53
20100121,0.01,63.4,-12.94,1.2
20100122,0.01,65.2,-13.03,1.43
20100123,0.0,61.49,-12.39,1.26
20100124,0.0,66.35,-13.13,1.33
20100125,0.0,66.88,-13.2,1.45
20100126,0.0,54.78,-13.7,1.51
20100127,0.0,63.46,-12.79,1.69
20100128,0.9,60.44,-13.01,2.17
20100129,7.53,69.83,-12.98,2.49
20100130,0.07,56.25,-15.98,1.53
20100131,0.0,55.18,-14.99,1.86
20100201,0.0,65.54,-16.15,1.82
20100202,0.0,61.84,-16.86,1.5
20100203,0.0,64.28,-16.92,1.63
20100204,0.0,65.45,-15.74,1.79
20100205,1.62,73.53,-13.31,1.86
20100206,7.2,80.95,-10.82,2.27
20100207,5.55,81.99,-10.28,2.57
20100208,13.44,80.1,-9.77,3.65
20100209,12.48,78.84,-14.27,3.99
20100210,0.16,71.6,-20.29,1.81
20100211,0.07,76.06,-15.75,2.34
20100212,0.04,76.19,-15.87,3.09
20100213,0.01,78.2,-17.67,2.26
20100214,0.25,78.92,-18.51,2.59
20100215,0.92,74.53,-18.44,2.48
20100216,0.37,72.15,-16.47,1.91
20100217,0.02,69.84,-17.13,1.03
20100218,0.0,73.99,-18.22,1.46
20100219,0.0,76.88,-16.09,1.34
20100220,0.0,71.51,-14.26,1.31
20100221,0.0,71.33,-12.63,1.24
20100222,0.0,72.34,-12.35,1.67
20100223,0.26,80.36,-11.91,1.21
20100224,0.11,78.01,-12.99,1.26
20100225,0.7,80.19,-13.23,1.66
20100226,3.55,82.98,-10.01,2.26
20100227,1.88,77.64,-8.99,2.0
20100228,4.36,81.66,-8.83,2.29
20100301,5.48,79.78,-9.01,4.27
20100302,0.01,60.11,-13.75,1.5
20100303,0.24,75.84,-13.27,2.02
