Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,43.99,25.6,8.76,16.84,2.53,5.75,21.75198332,78.25077264
20100102,0.0,43.14,26.58,7.82,18.76,3.17,6.85,21.75198332,78.25077264
20100103,0.0,48.16,28.9,10.93,17.97,2.19,4.96,21.75198332,78.25077264
20100104,0.0,53.09,26.82,12.61,14.22,2.03,3.21,21.75198332,78.25077264
20100105,0.0,49.48,25.77,10.64,15.12,1.44,3.62,21.75198332,78.25077264
20100106,0.0,39.53,26.12,9.64,16.48,2.2,5.86,21.75198332,78.25077264
20100107,0.0,38.24,26.48,8.13,18.36,3.41,6.36,21.75198332,78.25077264
20100108,0.0,36.6,27.14,9.64,17.5,2.23,3.63,21.75198332,78.25077264
20100109,0.0,41.96,28.25,10.57,17.68,2.66,4.63,21.75198332,78.25077264
20100110,0.0,45.9,29.07,12.78,16.28,2.34,4.13,21.75198332,78.25077264
20100111,0.65,49.35,29.62,13.33,16.29,2.92,5.58,21.75198332,78.25077264
20100112,11.42,71.89,24.54,15.31,9.23,2.47,1.65,21.75198332,78.25077264
20100113,2.34,68.1,26.66,12.73,13.93,3.75,4.32,21.75198332,78.25077264
20100114,0.0,50.72,25.48,9.71,15.77,2.51,5.47,21.75198332,78.25077264
20100115,0.0,48.25,26.51,8.58,17.93,3.93,6.97,21.75198332,78.25077264
20100116,0.0,46.1,26.86,9.02,17.84,2.8,5.51,21.75198332,78.25077264
20100117,0.0,44.05,26.37,9.55,16.82,3.2,6.26,21.75198332,78.25077264
20100118,0.0,39.14,27.01,8.78,18.23,3.44,6.96,21.75198332,78.25077264
20100119,0.0,33.26,27.89,9.0,18.9,2.36,5.88,21.75198332,78.25077264
20100120,0.0,30.22,27.79,9.0,18.79,3.31,5.88,21.75198332,78.25077264
20100121,0.0,29.97,27.66,8.91,18.75,2.52,5.14,21.75198332,78.25077264
20100122,0.0,29.14,27.6,9.62,17.99,2.99,5.08,21.75198332,78.25077264
20100123,0.0,28.47,28.19,8.94,19.26,2.37,4.57,21.75198332,78.25077264
20100124,0.0,27.43,28.13,10.57,17.55,1.77,2.22,21.75198332,78.25077264
20100125,0.0,29.98,28.16,11.43,16.73,2.98,5.67,21.75198332,78.25077264
20100126,0.0,32.7,28.05,10.36,17.69,2.87,5.56,21.75198332,78.25077264
20100127,0.0,31.47,27.99,10.03,17.95,2.58,4.31,21.75198332,78.25077264
20100128,0.0,30.54,27.91,10.88,17.03,2.84,4.26,21.75198332,78.25077264
20100129,0.0,34.66,28.4,10.83,17.58,3.09,5.56,21.75198332,78.25077264
20100130,0.0,34.75,29.15,14.41,14.74,0.87,2.75,21.75198332,78.25077264
20100131,0.0,35.02,29.3,13.39,15.91,2.69,3.81,21.75198332,78.25077264
20100201,0.0,35.94,29.19,13.26,15.92,3.1,3.97,21.75198332,78.25077264
20100202,0.08,38.74,29.11,15.0,14.11,4.52,5.02,21.75198332,78.25077264
20100203,0.08,45.04,28.63,15.76,12.88,2.45,3.92,21.75198332,78.25077264
20100204,0.27,57.05,26.18,17.4,8.79,3.53,5.59,21.75198332,78.25077264
20100205,0.03,51.47,27.87,15.99,11.88,2.5,4.48,21.75198332,78.25077264
20100206,0.0,38.78,30.58,14.66,15.92,3.19,5.45,21.75198332,78.25077264
20100207,0.0,25.48,31.54,13.84,17.71,3.33,5.83,21.75198332,78.25077264
20100208,0.0,25.43,32.06,15.8,16.26,3.46,5.14,21.75198332,78.25077264
20100209,0.02,34.49,31.52,15.37,16.15,3.14,5.45,21.75198332,78.25077264
20100210,0.54,47.1,29.16,18.82,10.35,3.38,4.78,21.75198332,78.25077264
