Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,36.63,23.99,6.19,17.8,2.07,4.24,28.25198332,76.75077264
20100102,0.0,33.51,23.34,9.76,13.58,2.27,4.03,28.25198332,76.75077264
20100103,3.14,44.15,22.41,9.56,12.85,2.17,4.45,28.25198332,76.75077264
20100104,0.0,52.18,20.29,6.44,13.86,4.52,4.56,28.25198332,76.75077264
20100105,0.0,48.68,21.87,5.47,16.4,2.33,3.63,28.25198332,76.75077264
20100106,0.0,40.97,22.5,6.02,16.49,2.74,5.09,28.25198332,76.75077264
20100107,0.0,39.57,22.07,8.73,13.34,2.3,3.51,28.25198332,76.75077264
20100108,0.0,45.77,20.82,8.16,12.66,1.51,2.54,28.25198332,76.75077264
20100109,0.0,38.11,21.44,6.4,15.04,2.16,3.74,28.25198332,76.75077264
20100110,0.0,33.26,22.28,5.6,16.68,2.59,4.47,28.25198332,76.75077264
20100111,0.0,30.04,23.3,5.81,17.5,0.98,2.2,28.25198332,76.75077264
20100112,0.11,28.14,24.19,7.98,16.21,2.76,5.42,28.25198332,76.75077264
20100113,3.38,73.59,16.32,7.2,9.13,3.01,3.78,28.25198332,76.75077264
20100114,0.0,56.66,20.27,3.78,16.5,1.34,3.53,28.25198332,76.75077264
20100115,0.0,31.42,21.9,4.82,17.08,2.29,4.35,28.25198332,76.75077264
20100116,0.0,27.74,23.44,5.62,17.82,1.12,1.89,28.25198332,76.75077264
20100117,0.0,24.87,24.47,7.76,16.71,1.12,2.09,28.25198332,76.75077264
20100118,0.0,25.43,25.04,8.16,16.88,2.08,2.87,28.25198332,76.75077264
20100119,0.0,24.63,25.18,9.64,15.53,1.85,2.88,28.25198332,76.75077264
20100120,0.0,26.63,23.85,8.46,15.4,3.03,5.28,28.25198332,76.75077264
20100121,0.0,23.71,24.61,6.78,17.83,1.62,2.46,28.25198332,76.75077264
20100122,0.0,24.79,25.24,10.06,15.18,1.85,3.24,28.25198332,76.75077264
20100123,0.0,30.5,26.02,8.44,17.58,2.38,4.24,28.25198332,76.75077264
20100124,0.0,33.98,26.16,8.23,17.93,1.87,4.35,28.25198332,76.75077264
20100125,0.0,36.33,25.26,8.78,16.49,2.5,5.25,28.25198332,76.75077264
20100126,0.0,30.06,26.08,10.53,15.55,0.94,1.75,28.25198332,76.75077264
20100127,0.0,35.25,25.99,11.71,14.28,2.99,5.61,28.25198332,76.75077264
20100128,0.0,38.55,25.41,10.44,14.98,2.2,4.58,28.25198332,76.75077264
20100129,0.0,35.66,26.69,10.52,16.17,1.21,1.96,28.25198332,76.75077264
20100130,0.0,34.14,26.51,9.66,16.85,2.51,3.48,28.25198332,76.75077264
20100131,0.0,27.28,25.56,6.81,18.75,1.88,4.71,28.25198332,76.75077264
20100201,0.0,27.74,24.5,9.02,15.48,2.73,4.64,28.25198332,76.75077264
20100202,0.0,29.76,25.47,10.39,15.08,2.83,5.1,28.25198332,76.75077264
20100203,0.0,28.81,25.52,7.79,17.73,1.88,2.84,28.25198332,76.75077264
20100204,0.0,27.52,26.64,8.07,18.57,2.62,4.67,28.25198332,76.75077264
20100205,0.0,30.71,26.9,10.2,16.71,2.76,2.97,28.25198332,76.75077264
20100206,0.0,28.65,29.72,10.91,18.82,2.0,4.39,28.25198332,76.75077264
20100207,0.0,34.15,26.72,12.86,13.86,3.02,6.74,28.25198332,76.75077264
20100208,6.41,44.34,25.72,14.58,11.14,2.15,5.23,28.25198332,76.75077264
20100209,2.23,51.45,25.43,8.42,17.01,4.26,5.77,28.25198332,76.75077264
20100210,0.0,34.62,23.26,4.77,18.49,3.35,7.84,28.25198332,76.75077264
20100211,0.0,33.96,24.63,6.16,18.47,3.47,7.08,28.25198332,76.75077264
20100212,6.06,53.44,23.81,10.71,13.1,3.11,6.02,28.25198332,76.75077264
20100213,0.08,60.56,24.98,9.87,15.11,2.32,5.27,28.25198332,76.75077264
20100214,0.0,33.47,25.3,7.39,17.91,2.64,5.6,28.25198332,76.75077264
20100215,0.0,42.71,25.06,8.6,16.46,3.31,3.55,28.25198332,76.75077264
20100216,0.0,42.61,26.36,12.0,14.36,3.07,6.82,28.25198332,76.75077264
20100217,0.0,24.44,24.22,7.0,17.22,1.77,4.6,28.25198332,76.75077264
20100218,0.0,24.59,26.08,5.99,20.09,1.79,4.59,28.25198332,76.75077264
20100219,0.0,22.82,27.68,7.56,20.12,1.85,4.49,28.25198332,76.75077264
20100220,0.0,23.17,28.98,9.1,19.88,2.14,2.82,28.25198332,76.75077264
20100221,0.0,24.09,31.12,10.47,20.65,3.4,4.38,28.25198332,76.75077264
20100222,0.72,30.31,31.59,13.34,18.25,4.76,7.52,28.25198332,76.75077264
20100223,1.43,51.91,27.98,12.72,15.26,3.93,6.25,28.25198332,76.75077264
20100224,0.0,41.63,29.3,13.85,15.45,2.49,4.46,28.25198332,76.75077264
20100225,0.0,34.56,30.51,13.02,17.49,2.82,5.05,28.25198332,76.75077264
20100226,0.0,32.79,31.77,14.0,17.77,2.49,3.95,28.25198332,76.75077264
20100227,0.0,28.08,33.51,16.37,17.14,3.89,6.05,28.25198332,76.75077264
20100228,0.0,27.66,34.26,15.09,19.17,2.62,4.66,28.25198332,76.75077264
20100301,0.0,24.85,34.83,16.75,18.08,2.25,3.94,28.25198332,76.75077264
20100302,0.0,26.47,34.78,17.03,17.75,2.91,5.76,28.25198332,76.75077264
20100303,0.0,24.26,33.69,17.25,16.45,2.84,6.8,28.25198332,76.75077264
20100304,0.07,30.06,33.66,15.88,17.78,3.19,5.72,28.25198332,76.75077264
20100305,0.01,29.36,32.56,15.74,16.82,0.94,4.39,28.25198332,76.75077264
20100306,0.24,27.98,30.6,15.66,14.94,3.53,6.75,28.25198332,76.75077264
20100307,0.27,33.48,31.41,15.49,15.92,3.1,5.97,28.25198332,76.75077264
20100308,0.0,29.28,30.74,13.17,17.57,3.23,4.35,28.25198332,76.75077264
20100309,0.0,25.33,32.06,13.15,18.9,0.96,3.48,28.25198332,76.75077264
20100310,0.0,21.39,32.96,13.38,19.58,1.68,3.57,28.25198332,76.75077264
20100311,0.0,17.47,33.67,13.99,19.68,2.19,4.22,28.25198332,76.75077264
20100312,0.0,17.92,34.5,16.56,17.95,3.04,5.08,28.25198332,76.75077264
20100313,0.0,18.95,35.65,15.83,19.83,4.38,5.29,28.25198332,76.75077264
20100314,0.0,17.64,35.91,16.31,19.61,3.06,3.42,28.25198332,76.75077264
20100315,0.0,16.59,37.24,18.12,19.11,3.1,5.81,28.25198332,76.75077264
20100316,0.0,15.47,37.11,18.88,18.22,1.88,4.08,28.25198332,76.75077264
20100317,0.0,17.94,37.09,16.23,20.85,1.96,4.08,28.25198332,76.75077264
20100318,0.0,18.03,37.04,17.44,19.6,1.87,4.25,28.25198332,76.75077264
20100319,0.0,20.94,37.4,20.01,17.39,3.35,4.75,28.25198332,76.75077264
20100320,0.0,17.88,39.43,19.01,20.42,2.68,3.37,28.25198332,76.75077264
20100321,0.0,12.72,41.64,21.27,20.37,4.43,6.13,28.25198332,76.75077264
20100322,0.0,11.28,41.17,21.31,19.86,3.75,2.76,28.25198332,76.75077264
20100323,0.0,12.15,40.18,20.97,19.21,2.63,4.59,28.25198332,76.75077264
20100324,0.0,11.59,40.51,19.78,20.73,3.34,7.02,28.25198332,76.75077264
20100325,0.0,14.02,40.01,22.45,17.56,2.89,5.37,28.25198332,76.75077264
20100326,0.0,14.5,40.57,22.18,18.39,2.45,4.8,28.25198332,76.75077264
20100327,0.0,16.94,38.54,21.88,16.66,1.95,2.93,28.25198332,76.75077264
20100328,0.0,14.28,39.63,19.4,20.23,3.6,5.0,28.25198332,76.75077264
20100329,0.0,11.26,41.0,20.57,20.44,2.73,3.22,28.25198332,76.75077264
20100330,0.0,14.34,39.84,20.81,19.03,2.66,3.09,28.25198332,76.75077264
20100331,0.0,11.94,39.33,21.14,18.19,2.49,6.53,28.25198332,76.75077264
20100401,0.0,10.83,38.55,20.13,18.42,3.43,3.34,28.25198332,76.75077264
20100402,0.16,12.06,40.08,21.29,18.78,1.93,3.35,28.25198332,76.75077264
20100403,0.01,16.87,39.47,24.48,14.98,1.65,2.21,28.25198332,76.75077264
20100404,0.0,15.33,39.77,22.07,17.7,1.6,4.25,28.25198332,76.75077264
20100405,0.0,14.84,39.7,22.62,17.08,3.06,5.69,28.25198332,76.75077264
20100406,0.0,12.16,38.8,20.77,18.03,4.15,4.55,28.25198332,76.75077264
20100407,0.0,8.43,40.38,18.58,21.79,3.52,4.9,28.25198332,76.75077264
20100408,0.0,7.64,41.74,21.82,19.91,2.24,4.6,28.25198332,76.75077264
20100409,0.0,8.1,41.3,23.25,18.05,2.58,4.39,28.25198332,76.75077264
20100410,0.0,10.14,42.38,22.1,20.28,2.12,3.58,28.25198332,76.75077264
20100411,0.0,10.2,42.8,23.03,19.77,1.45,4.46,28.25198332,76.75077264
20100412,0.0,12.72,42.82,27.16,15.65,5.3,9.16,28.25198332,76.75077264
20100413,0.0,13.91,41.47,24.06,17.42,3.66,4.32,28.25198332,76.75077264
20100414,0.0,12.53,42.32,22.42,19.9,3.59,4.24,28.25198332,76.75077264
20100415,0.0,9.69,43.69,23.48,20.21,1.77,3.43,28.25198332,76.75077264
20100416,0.0,9.13,44.97,24.47,20.5,2.75,3.04,28.25198332,76.75077264
20100417,0.0,10.9,45.01,25.8,19.2,3.29,5.29,28.25198332,76.75077264
20100418,0.0,13.4,44.29,28.33,15.96,3.34,4.0,28.25198332,76.75077264
20100419,0.0,19.76,42.32,29.28,13.04,4.92,4.84,28.25198332,76.75077264
20100420,0.01,17.75,43.07,26.52,16.54,2.31,5.1,28.25198332,76.75077264
20100421,0.0,18.0,41.85,27.7,14.15,5.65,4.48,28.25198332,76.75077264
20100422,0.0,16.92,39.85,24.7,15.15,3.36,2.67,28.25198332,76.75077264
20100423,0.0,11.42,40.28,22.58,17.7,2.17,4.67,28.25198332,76.75077264
20100424,0.0,12.79,41.15,23.35,17.8,2.4,5.93,28.25198332,76.75077264
20100425,0.0,13.18,41.65,23.65,18.0,3.27,5.58,28.25198332,76.75077264
20100426,0.0,11.46,43.3,26.38,16.92,3.89,4.4,28.25198332,76.75077264
20100427,0.0,14.59,42.81,28.44,14.37,2.49,5.95,28.25198332,76.75077264
20100428,0.02,16.4,43.58,27.76,15.82,2.73,6.81,28.25198332,76.75077264
20100429,0.29,17.28,42.82,28.54,14.28,2.01,4.14,28.25198332,76.75077264
20100430,0.59,18.52,42.47,28.65,13.83,2.95,6.12,28.25198332,76.75077264
20100501,1.02,23.31,41.04,27.41,13.63,5.55,8.08,28.25198332,76.75077264
20100502,0.1,19.96,41.31,26.94,14.37,1.42,3.36,28.25198332,76.75077264
20100503,0.0,16.27,42.63,27.76,14.87,2.71,3.84,28.25198332,76.75077264
20100504,0.0,13.75,43.65,28.38,15.27,2.37,2.76,28.25198332,76.75077264
20100505,0.02,15.39,44.55,28.22,16.33,5.44,7.63,28.25198332,76.75077264
20100506,0.01,20.32,42.29,27.39,14.9,2.5,3.68,28.25198332,76.75077264
20100507,1.14,24.88,42.52,29.24,13.28,4.53,6.53,28.25198332,76.75077264
20100508,0.03,23.85,40.81,27.52,13.3,1.69,4.36,28.25198332,76.75077264
20100509,0.01,21.33,41.59,27.81,13.78,3.15,1.85,28.25198332,76.75077264
20100510,0.05,17.86,42.21,26.88,15.33,1.73,4.37,28.25198332,76.75077264
20100511,0.21,15.41,42.98,26.89,16.09,2.99,3.83,28.25198332,76.75077264
20100512,0.0,13.62,43.48,26.56,16.91,3.22,3.32,28.25198332,76.75077264
20100513,0.0,10.31,45.17,29.17,16.0,5.17,6.03,28.25198332,76.75077264
20100514,0.0,9.96,44.58,27.63,16.94,2.94,5.01,28.25198332,76.75077264
20100515,0.0,11.36,44.5,29.76,14.74,4.32,6.49,28.25198332,76.75077264
20100516,0.0,12.42,46.01,27.59,18.42,2.72,1.82,28.25198332,76.75077264
20100517,0.0,14.64,46.59,30.82,15.77,2.23,5.28,28.25198332,76.75077264
20100518,0.0,14.32,44.94,31.5,13.44,4.61,3.31,28.25198332,76.75077264
20100519,0.03,15.8,43.46,28.22,15.24,2.32,3.44,28.25198332,76.75077264
