Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,30.75,13.7,-0.34,14.04,3.46,2.73,29.78155027,80.21104243
20100102,0.0,28.94,14.99,2.16,12.83,3.34,2.68,29.78155027,80.21104243
20100103,2.95,34.95,16.48,2.15,14.33,3.83,3.55,29.78155027,80.21104243
20100104,0.12,55.19,13.17,-1.18,14.35,3.81,3.12,29.78155027,80.21104243
20100105,0.0,43.07,14.81,0.41,14.4,3.97,3.39,29.78155027,80.21104243
20100106,0.0,40.88,14.47,-1.07,15.54,3.32,2.63,29.78155027,80.21104243
20100107,0.0,38.01,15.13,2.07,13.06,3.32,2.86,29.78155027,80.21104243
20100108,0.0,35.8,14.12,2.44,11.69,3.08,2.71,29.78155027,80.21104243
20100109,0.0,32.52,14.46,1.28,13.18,3.09,2.66,29.78155027,80.21104243
20100110,0.0,29.51,14.13,1.67,12.46,2.87,2.44,29.78155027,80.21104243
20100111,0.0,24.37,14.72,1.3,13.42,3.09,2.72,29.78155027,80.21104243
20100112,1.67,24.19,13.51,1.12,12.4,2.86,2.45,29.78155027,80.21104243
20100113,4.38,66.09,5.89,-0.02,5.91,3.55,4.14,29.78155027,80.21104243
20100114,0.06,56.23,12.61,-2.76,15.37,3.67,3.04,29.78155027,80.21104243
20100115,0.0,43.34,13.87,0.94,12.93,3.6,2.99,29.78155027,80.21104243
20100116,0.0,32.96,15.64,0.1,15.53,3.43,2.85,29.78155027,80.21104243
20100117,0.0,32.9,14.32,3.09,11.23,3.6,3.0,29.78155027,80.21104243
20100118,0.0,31.41,13.49,1.75,11.74,3.43,2.92,29.78155027,80.21104243
20100119,0.0,32.07,13.16,0.55,12.61,3.84,3.59,29.78155027,80.21104243
20100120,0.0,33.73,14.18,0.71,13.47,4.01,3.55,29.78155027,80.21104243
20100121,0.0,33.73,14.78,-0.66,15.44,4.88,4.38,29.78155027,80.21104243
20100122,0.0,36.73,13.32,-0.7,14.03,3.18,2.94,29.78155027,80.21104243
20100123,0.0,36.95,14.71,-0.36,15.06,4.51,4.09,29.78155027,80.21104243
20100124,0.0,36.54,12.23,1.55,10.68,2.97,2.5,29.78155027,80.21104243
20100125,0.0,39.4,12.52,1.34,11.17,3.59,3.12,29.78155027,80.21104243
20100126,0.0,40.75,13.58,-1.52,15.1,3.9,3.33,29.78155027,80.21104243
20100127,0.0,36.25,13.92,0.21,13.72,4.35,3.86,29.78155027,80.21104243
20100128,0.0,37.99,13.58,0.84,12.73,4.02,3.47,29.78155027,80.21104243
20100129,0.0,39.06,13.04,1.15,11.9,4.13,3.66,29.78155027,80.21104243
20100130,0.0,36.64,14.44,-0.85,15.29,4.28,3.73,29.78155027,80.21104243
20100131,0.0,30.71,13.82,0.29,13.52,4.17,3.7,29.78155027,80.21104243
20100201,0.0,34.05,10.91,0.71,10.2,3.39,2.75,29.78155027,80.21104243
20100202,0.0,33.55,11.1,-1.16,12.26,3.65,3.17,29.78155027,80.21104243
20100203,0.0,31.39,11.95,-2.31,14.27,4.12,3.78,29.78155027,80.21104243
20100204,0.0,30.65,12.6,-2.25,14.85,4.09,3.8,29.78155027,80.21104243
20100205,0.0,30.78,14.39,-1.73,16.13,4.44,4.03,29.78155027,80.21104243
20100206,0.0,38.95,16.19,0.89,15.29,4.84,4.43,29.78155027,80.21104243
20100207,0.0,51.47,16.33,1.3,15.04,5.0,5.2,29.78155027,80.21104243
20100208,9.59,80.5,9.48,2.75,6.73,2.06,2.12,29.78155027,80.21104243
20100209,14.3,94.2,6.43,-0.59,7.02,3.46,3.17,29.78155027,80.21104243
20100210,0.13,62.06,10.8,-1.58,12.39,3.04,2.66,29.78155027,80.21104243
20100211,0.44,39.96,13.78,-0.77,14.55,3.51,3.15,29.78155027,80.21104243
20100212,1.35,55.78,10.84,-0.17,11.02,3.65,2.95,29.78155027,80.21104243
20100213,0.0,39.48,12.57,-1.29,13.87,2.85,2.33,29.78155027,80.21104243
20100214,0.0,36.61,12.52,-1.77,14.28,4.12,3.59,29.78155027,80.21104243
20100215,0.12,36.87,12.13,-1.86,13.99,3.93,3.71,29.78155027,80.21104243
20100216,0.06,51.51,12.84,0.09,12.75,4.11,3.73,29.78155027,80.21104243
20100217,0.0,54.58,11.33,-0.97,12.31,3.56,3.33,29.78155027,80.21104243
20100218,0.0,35.41,15.87,-3.33,19.21,4.77,4.31,29.78155027,80.21104243
20100219,0.0,37.29,15.54,1.05,14.48,3.83,3.27,29.78155027,80.21104243
20100220,0.0,35.81,16.51,-0.37,16.88,4.11,3.41,29.78155027,80.21104243
20100221,0.0,33.31,18.42,1.53,16.9,4.49,3.81,29.78155027,80.21104243
20100222,0.25,37.32,18.04,2.98,15.06,5.1,4.64,29.78155027,80.21104243
20100223,1.91,70.84,11.17,2.68,8.49,3.25,2.87,29.78155027,80.21104243
20100224,0.0,54.66,14.85,1.74,13.1,4.11,3.77,29.78155027,80.21104243
20100225,0.0,49.92,16.58,2.35,14.23,4.23,3.73,29.78155027,80.21104243
20100226,0.0,46.19,17.78,4.7,13.09,4.56,4.18,29.78155027,80.21104243
20100227,0.0,43.2,19.22,2.98,16.25,4.55,4.32,29.78155027,80.21104243
20100228,0.0,40.36,20.13,4.99,15.14,5.0,4.83,29.78155027,80.21104243
20100301,0.0,55.38,17.03,5.79,11.24,3.89,3.36,29.78155027,80.21104243
20100302,0.0,41.76,18.83,2.67,16.16,5.18,4.86,29.78155027,80.21104243
20100303,0.0,35.13,16.18,3.93,12.25,3.63,3.26,29.78155027,80.21104243
20100304,1.84,46.67,17.94,4.23,13.7,4.92,4.64,29.78155027,80.21104243
