Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,22.1,7.37,-7.07,14.44,2.58,2.83,33.75198332,75.25077264
20100102,0.0,25.12,7.58,-6.38,13.96,2.74,2.4,33.75198332,75.25077264
20100103,3.67,58.54,0.09,-4.36,4.45,3.76,4.01,33.75198332,75.25077264
20100104,0.06,51.34,6.69,-8.06,14.75,2.14,2.15,33.75198332,75.25077264
20100105,0.0,26.88,7.94,-4.75,12.69,1.66,2.03,33.75198332,75.25077264
20100106,0.0,25.61,9.13,-7.54,16.67,3.17,3.71,33.75198332,75.25077264
20100107,0.0,20.55,7.56,-3.82,11.38,3.36,3.3,33.75198332,75.25077264
20100108,0.0,27.06,5.02,-5.79,10.81,3.72,3.67,33.75198332,75.25077264
20100109,0.0,33.55,4.15,-5.25,9.4,3.52,3.37,33.75198332,75.25077264
20100110,0.0,30.76,4.26,-6.14,10.4,2.67,2.46,33.75198332,75.25077264
20100111,0.0,26.28,5.03,-6.98,12.01,3.58,3.46,33.75198332,75.25077264
20100112,0.0,24.09,4.59,-7.08,11.67,2.44,2.29,33.75198332,75.25077264
20100113,0.0,28.77,4.57,-5.88,10.45,3.49,3.21,33.75198332,75.25077264
20100114,0.0,27.36,6.1,-9.03,15.13,2.69,2.89,33.75198332,75.25077264
20100115,0.0,27.66,7.51,-4.08,11.6,2.76,2.59,33.75198332,75.25077264
20100116,0.0,26.63,8.2,-3.95,12.15,1.92,2.1,33.75198332,75.25077264
20100117,0.0,35.5,4.77,-2.4,7.17,1.98,1.89,33.75198332,75.25077264
20100118,0.0,32.67,4.84,-4.41,9.25,3.79,3.58,33.75198332,75.25077264
20100119,0.0,32.35,4.85,-5.35,10.19,3.84,3.6,33.75198332,75.25077264
20100120,0.0,42.01,4.93,-5.96,10.89,2.23,2.45,33.75198332,75.25077264
20100121,0.0,38.89,6.87,-5.34,12.21,2.37,2.19,33.75198332,75.25077264
20100122,0.13,47.92,3.76,-4.09,7.85,1.4,1.46,33.75198332,75.25077264
20100123,0.0,49.85,5.9,-5.81,11.71,2.21,2.05,33.75198332,75.25077264
20100124,0.0,47.44,4.44,-5.16,9.6,2.43,2.55,33.75198332,75.25077264
20100125,0.0,46.48,4.94,-4.76,9.69,2.47,2.21,33.75198332,75.25077264
20100126,0.0,37.1,5.85,-7.88,13.73,3.02,3.0,33.75198332,75.25077264
20100127,0.0,39.54,4.86,-3.51,8.37,2.93,2.61,33.75198332,75.25077264
20100128,0.38,45.18,5.8,-5.46,11.26,3.31,2.99,33.75198332,75.25077264
20100129,13.99,85.77,0.26,-8.0,8.27,6.97,7.76,33.75198332,75.25077264
20100130,0.0,45.29,3.29,-11.03,14.32,2.67,2.83,33.75198332,75.25077264
20100131,0.0,42.94,2.69,-5.97,8.66,3.92,3.89,33.75198332,75.25077264
20100201,0.0,49.99,1.31,-6.37,7.68,3.74,3.72,33.75198332,75.25077264
20100202,0.0,48.22,1.82,-8.82,10.64,2.64,2.38,33.75198332,75.25077264
20100203,0.0,43.44,2.31,-10.19,12.5,3.06,2.89,33.75198332,75.25077264
20100204,0.0,42.68,3.73,-6.48,10.21,2.84,2.64,33.75198332,75.25077264
20100205,2.86,60.97,3.93,-5.01,8.93,2.1,1.9,33.75198332,75.25077264
20100206,10.49,89.61,2.75,-3.27,6.02,3.47,3.18,33.75198332,75.25077264
20100207,10.6,92.39,0.5,-3.82,4.32,2.88,2.71,33.75198332,75.25077264
20100208,30.46,95.61,-0.47,-5.48,5.01,5.26,5.65,33.75198332,75.25077264
20100209,18.03,93.91,-2.92,-13.32,10.4,8.01,8.84,33.75198332,75.25077264
20100210,0.23,81.66,-2.72,-18.07,15.35,1.72,1.67,33.75198332,75.25077264
20100211,0.04,85.5,-1.44,-9.83,8.38,1.89,2.03,33.75198332,75.25077264
20100212,0.06,85.12,-2.0,-8.91,6.91,3.85,3.98,33.75198332,75.25077264
20100213,0.0,74.67,-0.91,-8.78,7.87,2.66,2.76,33.75198332,75.25077264
20100214,0.31,75.59,-2.62,-10.7,8.09,2.96,2.8,33.75198332,75.25077264
20100215,2.99,78.14,-2.08,-10.52,8.45,4.09,3.95,33.75198332,75.25077264
20100216,0.41,82.1,-1.1,-9.07,7.97,5.45,5.91,33.75198332,75.25077264
20100217,0.02,64.65,0.81,-13.55,14.36,3.49,3.73,33.75198332,75.25077264
20100218,0.0,46.73,3.22,-14.63,17.85,3.39,3.74,33.75198332,75.25077264
20100219,0.0,51.1,4.66,-10.25,14.92,2.97,3.13,33.75198332,75.25077264
20100220,0.0,50.15,6.04,-8.51,14.55,2.62,2.75,33.75198332,75.25077264
20100221,0.0,54.62,8.23,-7.2,15.44,2.83,2.98,33.75198332,75.25077264
20100222,0.0,57.39,6.47,-3.49,9.95,2.48,2.39,33.75198332,75.25077264
20100223,1.12,70.77,5.35,-3.62,8.97,2.66,2.52,33.75198332,75.25077264
