,PRECTOT,RH2M,T2M,WS2M
20100101,0.0,51.68,17.83,1.74
20100102,0.0,50.21,18.94,2.0
20100103,0.0,49.27,20.96,1.16
20100104,0.0,63.74,21.01,1.58
20100105,0.0,56.22,19.27,1.72
20100106,0.0,47.01,18.23,1.31
20100107,0.0,45.14,18.25,1.7
20100108,0.0,39.74,19.08,1.53
20100109,0.0,45.17,20.05,1.27
20100110,0.0,50.43,21.49,1.8
20100111,1.01,59.99,23.19,1.96
20100112,13.07,76.7,22.8,1.03
20100113,0.0,55.6,19.58,2.28
20100114,0.0,48.54,17.23,1.75
20100115,0.0,52.17,17.81,1.53
20100116,0.0,52.1,18.8,1.33
20100117,0.0,51.61,19.19,1.33
20100118,0.0,47.18,19.09,1.33
20100119,0.0,41.37,19.5,1.46
20100120,0.0,36.6,18.86,2.14
20100121,0.0,33.3,19.21,1.68
20100122,0.0,30.32,19.69,1.72
20100123,0.0,28.97,19.25,1.86
20100124,0.0,27.74,20.02,1.61
20100125,0.0,30.29,19.69,1.74
20100126,0.0,33.68,19.96,1.59
20100127,0.0,32.71,20.31,1.72
20100128,0.0,30.85,20.92,1.62
20100129,0.0,32.41,21.24,1.5
20100130,0.0,35.5,21.79,1.56
20100131,0.0,34.2,22.51,1.44
20100201,0.0,33.73,22.75,1.6
20100202,0.0,34.85,23.3,1.04
20100203,0.34,38.04,24.28,1.08
20100204,0.06,37.27,25.76,1.48
20100205,0.0,41.25,24.68,2.68
20100206,0.0,39.31,23.8,1.98
20100207,0.0,33.24,24.44,1.79
20100208,0.0,27.23,25.57,2.35
20100209,0.0,37.53,25.99,1.87
20100210,0.03,41.09,25.83,1.46
20100211,0.43,39.35,26.39,2.75
20100212,0.05,30.52,25.66,2.47
20100213,0.0,28.05,25.78,1.73
20100214,0.03,23.85,25.54,2.04
20100215,0.13,21.62,24.58,2.05
20100216,0.11,20.71,26.1,2.12
20100217,0.01,18.74,24.63,1.96
20100218,0.0,17.97,24.92,1.63
20100219,0.0,25.36,27.64,1.52
20100220,0.09,31.43,28.74,1.9
20100221,0.0,29.71,28.67,1.92
20100222,0.85,29.26,28.4,1.12
20100223,0.16,27.7,27.63,3.06
20100224,0.02,24.18,24.26,2.31
20100225,0.0,20.05,24.78,1.47
20100226,0.0,17.27,26.21,1.23
20100227,0.0,16.27,27.15,1.48
20100228,0.0,14.19,28.11,1.12
20100301,0.0,15.36,28.92,0.84
20100302,0.0,18.84,29.83,0.86
20100303,0.0,21.25,29.31,3.08
20100304,0.0,21.5,27.94,2.67
20100305,0.0,27.03,27.9,1.99
20100306,0.0,30.7,27.9,2.74
20100307,0.0,27.89,26.75,3.01
20100308,0.0,19.16,27.17,1.85
20100309,0.0,17.95,29.64,1.61
20100310,3.98,27.36,30.32,2.54
20100311,0.47,41.78,28.84,2.14
20100312,4.06,39.64,29.73,1.84
20100313,0.0,35.74,30.23,1.65
20100314,0.0,16.8,28.49,2.17
20100315,0.0,16.05,28.34,1.62
20100316,0.0,17.6,29.13,1.53
20100317,0.0,15.87,31.08,1.25
20100318,0.0,17.6,30.88,1.91
20100319,0.0,18.01,31.65,1.44
20100320,0.0,17.24,32.44,1.53
20100321,0.0,14.81,33.27,1.32
20100322,0.0,12.88,32.06,1.28
20100323,0.0,15.37,30.81,1.78
20100324,0.0,15.93,31.55,1.83
20100325,0.0,18.33,30.9,2.3
20100326,0.0,18.85,31.38,1.85
20100327,0.0,19.85,31.7,1.67
20100328,0.0,17.36,32.38,1.53
20100329,0.0,20.51,32.26,1.78
20100330,0.0,17.2,31.45,4.04
20100331,0.0,22.45,30.36,3.93
20100401,0.0,24.37,29.4,3.37
20100402,0.0,26.27,30.68,2.98
20100403,0.0,19.3,30.84,2.96
20100404,0.0,12.23,30.38,2.61
20100405,0.0,11.97,31.16,2.32
20100406,0.0,11.36,32.47,1.71
20100407,0.0,11.09,34.12,1.09
20100408,0.0,18.17,33.3,1.94
20100409,0.0,18.23,33.59,2.99
20100410,0.0,21.85,32.17,2.67
20100411,0.0,19.24,32.86,2.89
20100412,0.0,17.28,32.67,3.09
20100413,0.0,15.35,32.96,2.4
20100414,0.0,18.5,33.15,1.79
20100415,0.0,14.91,35.46,1.28
20100416,0.0,12.31,36.34,1.19
20100417,0.0,16.84,35.34,2.65
20100418,0.0,19.87,35.54,3.14
20100419,0.0,21.28,34.8,4.26
20100420,0.0,22.79,33.81,4.79
20100421,0.0,22.47,34.01,3.88
20100422,0.0,21.8,34.14,3.5
20100423,0.0,14.97,34.53,3.78
20100424,0.0,11.76,34.01,2.78
20100425,0.0,18.72,33.92,4.0
20100426,0.0,16.9,34.03,2.77
20100427,0.0,17.37,34.95,2.81
20100428,0.0,18.68,35.56,2.64
20100429,0.01,19.05,35.29,1.63
20100430,0.55,38.65,30.17,2.35
20100501,0.19,46.64,29.09,1.53
20100502,0.03,31.44,32.01,1.57
20100503,3.61,27.18,34.22,3.29
20100504,0.66,26.88,34.89,3.28
20100505,0.0,25.28,35.33,4.12
20100506,0.0,24.54,35.21,4.2
20100507,0.0,24.12,35.94,3.4
20100508,0.0,19.33,35.77,3.35
20100509,0.0,18.19,35.6,3.78
20100510,0.0,18.37,35.5,3.47
20100511,0.0,16.77,35.17,3.62
20100512,0.0,16.39,35.28,2.87
20100513,0.0,22.23,35.82,3.42
20100514,0.0,25.32,36.04,4.12
20100515,0.0,23.06,35.22,3.74
20100516,0.0,23.85,35.78,3.69
20100517,0.0,22.57,36.69,4.58
20100518,0.0,17.73,37.7,3.96
20100519,0.0,13.51,38.14,3.6
20100520,0.01,16.09,37.55,2.32
20100521,0.0,23.72,37.65,1.89
20100522,0.0,26.19,37.02,2.99
20100523,0.0,26.06,36.57,4.71
20100524,0.0,25.5,36.68,6.53
20100525,0.0,27.85,35.94,6.78
20100526,0.0,38.54,34.91,7.3
20100527,0.0,39.78,34.13,6.78
20100528,0.0,39.37,34.05,6.4
20100529,0.0,33.52,34.38,5.67
20100530,0.0,31.49,34.37,5.21
20100531,0.0,29.24,34.64,4.55
20100601,0.78,30.68,35.24,4.22
20100602,2.1,43.44,33.76,4.84
20100603,0.03,45.9,32.51,4.49
20100604,0.0,47.01,32.68,5.55
20100605,0.0,44.09,33.19,6.44
20100606,0.0,41.28,33.24,6.37
20100607,0.01,42.8,32.96,5.87
20100608,0.02,39.62,32.69,5.24
20100609,0.01,38.66,32.99,3.5
20100610,0.29,30.54,35.48,3.68
20100611,2.77,37.0,35.32,2.04
20100612,0.65,41.42,35.03,3.65
20100613,1.22,47.31,33.33,4.97
20100614,4.87,62.9,29.85,3.68
20100615,22.28,69.52,28.56,2.16
20100616,41.61,83.99,26.67,5.2
20100617,5.41,79.9,27.55,1.84
20100618,0.03,74.78,28.26,2.08
20100619,0.31,76.73,27.43,2.3
20100620,0.84,67.77,29.31,2.5
20100621,19.1,67.46,29.39,3.35
20100622,9.54,74.57,28.44,3.73
20100623,1.34,66.77,29.39,4.27
20100624,0.24,69.55,29.28,3.64
20100625,0.03,67.9,29.01,3.54
20100626,0.0,60.8,30.43,2.02
20100627,5.05,63.01,30.21,2.03
20100628,1.36,71.26,29.62,1.74
20100629,10.23,76.23,28.56,2.24
20100630,16.58,79.23,28.14,2.73
20100701,4.35,78.17,27.43,2.59
20100702,38.07,83.12,26.31,2.1
20100703,17.01,87.96,25.9,3.88
20100704,4.85,86.19,26.05,4.65
20100705,15.92,75.13,27.42,3.14
20100706,17.54,80.2,26.99,2.28
20100707,8.39,84.64,25.85,3.06
20100708,4.57,78.84,26.82,2.83
20100709,0.22,76.87,26.7,3.86
20100710,1.77,80.54,27.31,3.1
20100711,5.87,85.64,26.39,4.01
20100712,1.74,76.16,27.22,4.13
20100713,0.59,74.16,27.57,4.03
20100714,1.78,78.45,27.08,3.28
20100715,3.81,84.07,26.24,4.06
20100716,22.83,90.55,25.35,4.03
20100717,23.32,82.53,27.57,3.73
20100718,0.12,81.31,27.03,1.83
20100719,2.71,81.23,27.85,1.83
20100720,10.81,84.45,27.48,1.58
20100721,4.91,86.47,26.67,2.12
20100722,7.41,83.77,26.78,4.64
20100723,4.5,84.02,26.2,2.25
20100724,15.02,86.63,26.13,3.58
20100725,24.14,87.92,25.29,5.27
20100726,2.57,85.77,25.66,5.18
20100727,0.67,81.04,27.02,3.18
20100728,4.21,79.85,27.26,2.05
20100729,4.68,81.25,26.86,2.65
20100730,30.72,90.32,25.12,3.73
