WKT,pid,STATUS
"MULTIPOLYGON (((831634.247600948 1560652.52067611,831633.571061244 1560646.9316198,831631.798045873 1560641.29312589,831630.692233656 1560633.95028906,831630.554399277 1560626.85268863,831631.909403996 1560624.77157014,831624.818155854 1560621.17348357,831621.509286025 1560615.31556192,831621.580481326 1560609.32094274,831620.725055738 1560601.28915481,831618.834980801 1560593.29933658,831618.385392996 1560592.1322972,831612.419827387 1560591.59294026,831604.87235487 1560593.39932603,831599.949218505 1560596.09459491,831593.444849969 1560599.00744077,831587.451684854 1560601.1350625,831585.722207383 1560601.66990075,831583.427213455 1560605.50895102,831586.178453031 1560612.12379534,831587.673147586 1560619.06744903,831590.610968096 1560619.95677054,831587.334480034 1560626.65345652,831589.624912704 1560632.95958555,831594.216406709 1560641.5810065,831597.400630091 1560648.43221559,831600.801441375 1560656.3458571,831603.51499477 1560664.32993152,831605.338222802 1560670.67603353,831606.395598875 1560673.59353721,831610.141909725 1560672.8524674,831614.527537555 1560666.35302432,831620.738229539 1560664.39627091,831624.721885075 1560664.25450336,831628.646553525 1560656.48265498,831632.840812243 1560653.0468797,831634.247600948 1560652.52067611)))",PC80112,TRUE
"MULTIPOLYGON (((831706.056414208 1560701.54197637,831714.463198124 1560701.66847473,831720.255103164 1560703.35944792,831726.185109208 1560709.09836658,831732.234268145 1560709.02980218,831737.542868399 1560706.07190183,831743.388361932 1560705.45786227,831750.815119182 1560705.44242019,831759.325680398 1560706.73500093,831766.597480216 1560706.1692953,831772.053629966 1560704.87456021,831774.831128297 1560702.31552502,831775.39934518 1560696.06158113,831774.989459479 1560690.61809985,831779.467176328 1560687.26535256,831781.624334594 1560683.23057886,831784.656164816 1560678.30103424,831788.58305109 1560675.87874738,831792.036521116 1560674.25336383,831787.582642644 1560670.12673158,831783.509471886 1560667.75491275,831782.231542943 1560662.97203988,831707.920024745 1560688.9420345,831702.819652709 1560691.26958143,831706.056414208 1560701.54197637)))",PC80111,TRUE
"MULTIPOLYGON (((832190.002868991 1560954.06956744,832185.622823652 1560959.08439134,832180.365218059 1560959.79639284,832175.188979919 1560955.66386488,832170.427573133 1560958.11750738,832167.582155461 1560967.82803434,832165.147119877 1560974.50566549,832159.996969051 1560976.19117186,832158.516705752 1560982.32985281,832158.18524338 1560991.13441788,832159.305800169 1560998.43497956,832161.640899529 1561005.85666017,832162.448170968 1561010.39163012,832168.765230658 1561012.15051895,832175.233696657 1561009.22262699,832181.682931926 1561007.90410856,832190.606726244 1561007.07031928,832194.593797179 1561002.53720156,832199.658220911 1560998.13448405,832205.202342868 1560997.00536479,832211.664311033 1560999.94926251,832213.684444767 1561005.55053125,832219.197300287 1561009.01363573,832227.217806506 1561008.50218418,832233.50795581 1561006.81798146,832241.117121106 1561007.58769586,832244.724355262 1561006.46268391,832241.609648963 1560998.8683019,832239.067613919 1560990.74059529,832237.096554272 1560981.52387608,832235.487770414 1560971.88360555,832232.661664247 1560963.01930523,832231.03803279 1560953.82740529,832229.47431889 1560945.01286249,832228.686128958 1560938.46790743,832226.750888892 1560930.37019027,832222.193795016 1560930.18487682,832214.983854629 1560933.50853027,832209.119467785 1560936.84941495,832204.298148122 1560943.04403372,832198.719775819 1560948.16725106,832195.598523114 1560951.35774688,832190.002868991 1560954.06956744)))",PC80117,TRUE
"MULTIPOLYGON (((826877.369903299 1560264.51473732,827041.405429107 1560256.60034605,827047.177377771 1560257.89851367,827052.412525997 1560252.90273629,827055.609260866 1560246.84151525,827055.091966147 1560242.2386632,827052.274796379 1560243.59052642,827045.500441586 1560245.28811874,827044.285447184 1560240.02472748,827047.980938266 1560233.427249,827044.293786044 1560231.1296076,827034.361674015 1560231.51664451,827026.572894023 1560230.98437199,827017.312962003 1560232.76269626,827010.337822307 1560235.21082135,827005.355981285 1560234.25509606,827003.91245985 1560229.53698454,827004.112557707 1560220.85111094,827003.842903358 1560218.99255056,826892.849020781 1560222.63729689,826891.081553464 1560221.80228627,826886.677252754 1560228.46263979,826882.984717896 1560233.15524775,826877.445125096 1560234.9334618,826873.416562933 1560244.73480011,826873.475649227 1560244.62055915,826877.369903299 1560264.51473732)))",PC92514,TRUE
"MULTIPOLYGON (((827046.190019425 1560259.86082418,827013.625850962 1560261.3666007,827011.570368529 1560278.27401947,827016.063502295 1560289.05441673,827015.427071488 1560314.12223274,827059.976601553 1560311.70779465,827057.012399513 1560308.67377364,827046.190019425 1560259.86082418)))",PC92515,TRUE
"MULTIPOLYGON (((831550.427064936 1560755.44183717,831552.479453981 1560753.34956032,831555.238969551 1560748.43294459,831558.58286149 1560743.33567908,831563.812683882 1560741.29964786,831570.62066772 1560740.6539553,831572.647124035 1560737.79158733,831569.317739941 1560734.75391206,831563.715580653 1560732.87916152,831557.881865206 1560730.93847772,831549.579614765 1560728.05003633,831543.499370816 1560724.70706766,831537.275562002 1560720.07369183,831532.255455949 1560721.63799074,831528.445124521 1560725.21181065,831521.926329663 1560728.54534961,831514.485204588 1560730.76293775,831507.50066911 1560733.47935568,831502.838593418 1560738.52795156,831504.199515622 1560743.72168058,831506.043304689 1560749.32232143,831503.795082954 1560753.16575045,831501.038993663 1560755.33013249,831495.722537725 1560755.86430209,831491.42301157 1560759.22672601,831485.799942069 1560762.40395557,831478.40968229 1560766.24855377,831473.263028443 1560770.74069886,831470.804453025 1560778.9617726,831469.931923854 1560785.48684908,831464.440364532 1560790.86983923,831463.994536417 1560796.86321291,831465.294430523 1560804.2381414,831469.066959663 1560809.08491665,831470.367529851 1560808.95980563,831475.700393527 1560806.62241119,831480.073621211 1560803.5506866,831481.915143447 1560796.3571196,831486.059699283 1560791.75763342,831491.60233575 1560787.14883267,831496.764853195 1560781.02867743,831501.245878643 1560775.3574846,831506.240560913 1560769.94585784,831512.567379353 1560763.92951887,831518.38854794 1560760.21029613,831523.767591161 1560756.68100391,831530.504318496 1560757.90614443,831536.327856574 1560758.68918068,831543.684807783 1560757.80887415,831549.412502866 1560757.38896032,831550.427064936 1560755.44183717)))",PC80108,TRUE
"MULTIPOLYGON (((831666.699623368 1560885.06899964,831669.244326806 1560881.56914556,831673.364487749 1560878.83006669,831678.271511261 1560875.44604115,831684.199558871 1560873.60745014,831690.413189321 1560873.35817624,831697.553042492 1560873.37220599,831701.601583896 1560869.6372733,831706.740118415 1560866.18240411,831711.431721963 1560863.5579011,831707.955998073 1560859.1726015,831705.207120574 1560852.38243382,831699.767282694 1560845.80806399,831693.582531099 1560842.06119519,831690.219051406 1560836.390825,831688.295662672 1560835.22124207,831683.035519675 1560835.58255128,831676.635552813 1560836.98679342,831672.0244282 1560839.10287749,831666.6407832 1560841.60204869,831661.524839288 1560845.95057868,831653.98498068 1560842.49800865,831652.669609853 1560841.40648399,831647.655754265 1560841.11202114,831642.405336617 1560843.48379666,831638.520057616 1560846.30713486,831634.634472997 1560851.63532584,831629.726733542 1560855.6286185,831623.966963557 1560861.53970192,831618.424252974 1560865.87158512,831614.708388197 1560873.79745002,831610.630618951 1560878.66172198,831605.570814113 1560884.91976069,831602.786614236 1560890.3436422,831597.557509893 1560892.18584614,831592.009582323 1560891.26794542,831592.252174979 1560895.31182329,831595.383988282 1560901.75266953,831597.246200187 1560907.73567338,831600.32104538 1560911.23144119,831605.539257845 1560913.25813281,831610.223130253 1560913.01842158,831615.462024128 1560910.42697428,831616.99312641 1560904.10986238,831619.445815967 1560896.34281646,831627.496789065 1560893.35794611,831634.630944189 1560891.60709977,831640.977353161 1560893.87747606,831645.521213155 1560895.39330526,831650.303731611 1560895.59614165,831650.099075471 1560890.44519742,831653.671924886 1560885.88621977,831658.018863608 1560884.81886316,831663.060286186 1560884.65770798,831666.699623368 1560885.06899964)))",PC80107,TRUE
"MULTIPOLYGON (((832379.394335831 1561242.91011936,832369.970860396 1561226.32372985,832286.57079185 1561269.13230019,832277.752705356 1561272.36589864,832279.245659966 1561277.22728955,832282.404187448 1561287.36984891,832379.394335831 1561242.91011936)))",PC77297,TRUE
"MULTIPOLYGON (((832274.884869897 1561377.55995723,832277.084907454 1561384.69757822,832279.961907375 1561389.38881488,832282.564003324 1561395.8135578,832280.406619628 1561399.31666109,832275.066391039 1561399.87248215,832268.394586947 1561400.72651821,832264.723419995 1561404.25210222,832263.704983951 1561409.379751,832267.423383516 1561412.15118798,832274.872238607 1561411.80573598,832281.520162767 1561410.99203706,832289.427791802 1561410.84454021,832295.777482023 1561411.47419493,832303.635872463 1561411.91672263,832310.584114261 1561411.9764051,832318.585039633 1561411.44071918,832325.920875135 1561410.23355421,832330.498813812 1561409.1397798,832335.871336208 1561408.04168593,832341.305756267 1561407.85449167,832347.661929315 1561408.95484952,832356.513147718 1561410.16717163,832357.081577994 1561395.38971928,832354.475318309 1561394.00336273,832348.712679205 1561391.6019688,832342.663746973 1561388.90708598,832333.004011286 1561385.83063421,832325.341764868 1561383.34532563,832316.129228862 1561381.06122299,832306.166720317 1561380.04642757,832298.7219021 1561379.67023525,832290.941044264 1561377.97894921,832280.142941292 1561376.25367964,832274.884869897 1561377.55995723)))",PC76897,TRUE
"MULTIPOLYGON (((832296.11197371 1561312.19277906,832378.158637771 1561295.36364009,832381.959846639 1561293.04513488,832391.979892826 1561264.50893287,832389.454239249 1561260.63258225,832378.982664881 1561263.1386991,832373.295813645 1561255.02792973,832366.308665152 1561254.93638576,832289.691916115 1561285.48198069,832296.11197371 1561312.19277906)))",PC76896,TRUE
